Samples	CBSX__CCLE-TIL10__Cancer.cells	CBSX__CCLE-TIL10__B.cells	CBSX__CCLE-TIL10__Macrophages.M1	CBSX__CCLE-TIL10__Macrophages.M2	CBSX__CCLE-TIL10__Monocytes	CBSX__CCLE-TIL10__Neutrophils	CBSX__CCLE-TIL10__NK.cells	CBSX__CCLE-TIL10__T.cells.CD4	CBSX__CCLE-TIL10__T.cells.CD8	CBSX__CCLE-TIL10__Tregs	CBSX__CCLE-TIL10__Dendritic.cells
IMMU-BC3-0099	0.17553817781995876	0	0.00539894902708312	0	0	0	0	0.5672273819744266	0.0380365322033494	0	0.21379895897518209
IMMU-BC3-0101	0.28193019949606635	0	0.04674888026032511	0	0	0	0	0.32758796584826283	0.06614119590338395	0	0.2775917584919618
IMMU-BC3-0109	0.09640139062800449	0	0.00873679032602488	0	0	0	0.02814724673240701	0.33603772870690324	0.1345990714880284	0.1169975263927284	0.27908024572590356
IMMU-BC3-0111	0.43282848378167016	0.06638514142788145	0.05125007661072161	0	0	0	0	0	0.14092817300829855	0	0.30860812517142816
IMMU-BC3-0113	0.38567077745226414	0	0	0	0	0	0	0	0.487644497302593	0	0.1266847252451428
IMMU-BC3-0119	0.20531662747810653	0	0	0.02883479807239613	0	0	0	0.2876835596833468	0.03615534173207006	0	0.44200967303408045
IMMU-BC3-0124	0.082160141498931	0.01324450542418818	0.17708164769635731	0	0	0	0	0	0.1307625277077418	0.23547071324164703	0.36128046443113465
IMMU-BC3-0126	0.1898859767465979	0.01548265649680172	0	0	0	0	0	0	0.25433232038062914	0.1693559659621656	0.3709430804138056
IMMU-BC3-0138	0.5435981294720088	0	0	0	0	0	0	0.40037564112703394	0	0	0.05602622940095739
IMMU-BC3-0139	0.14519850287568126	0.04559192730849244	0.00942449094869687	0	0	0	0	0.4803459307004608	0.06862288573598671	0	0.25081626243068195
IMMU-BC3-0147	0.2638656386115239	0	0	0	0	0	0	0.36432978085943	0.16076969626213863	0	0.21103488426690736
IMMU-BC3-0152	0.24788010546939948	0	0.16680344077132575	0	0	0	0	0.2910136873200664	0.01787673456729894	0	0.27642603187190956
IMMU-BC3-0154	0.35819207738497744	0	0.03134412840581088	0	0	0	0	0.4052058929915095	0.03761380324735548	4.9790892238125e-4	0.16714618904796533
IMMU-BC3-0154	0	0	0.2889000546975124	0.04607707439033475	0	0	0	0.5331160789259661	0.09758476643247176	0	0.03432202555371491
IMMU-BC3-0155	0.17112216025043306	0	0.00616003666298128	0	0	0	0	0	0.3135275735380826	0.46165350886036527	0.04753672068813784
IMMU-BC3-0165	0	0	0.2086183263265052	0	0	0	0	0.708314522940236	0	0.08306715073325878	0
IMMU-BC3-0168	0.22859450831543035	0	0	0	0	8.9015026879134e-4	0	0.322325643263326	0.3462796379511403	0	0.10191006020131198
IMMU-BC3-0171	0.12554395592321205	0.01455188857608692	0.03493762005156403	0	0	0	0	0.5015071549096677	0.12830384558765115	0	0.19515553495181828
IMMU-BC3-0177	0.11621972299296392	0.06179237110342601	0.01765397491619512	0	0	0	0	0.438273445722504	0.21031688350589076	0	0.15574360175902024
IMMU-BC3-0181	0.3388327040369498	0	0	0.01889852049931273	0	0	0	0.3166606780015657	0.09420109689037216	0	0.23140700057179964
IMMU-BC3-0187	0.19984136372598363	0	0.01524755084255987	0	0	0	0	0.3197478196271532	0.0389089229978231	0	0.42625434280648034
IMMU-BC3-0188	0.27222015108208164	0	0	0	0	0	0	0	0.25207930923340477	0.3086754519389142	0.16702508774559932
IMMU-BC3-0189	0.2835237310774158	0.03640996155567815	0.02323686772712183	0	0	0	0	0	0.03930421195470842	0.2496679807724911	0.3678572469125845
