Samples	CBSX_BPRNACan3DProMet_B	CBSX_BPRNACan3DProMet_cancer	CBSX_BPRNACan3DProMet_CD4	CBSX_BPRNACan3DProMet_CD8	CBSX_BPRNACan3DProMet_M0	CBSX_BPRNACan3DProMet_M1	CBSX_BPRNACan3DProMet_M2	CBSX_BPRNACan3DProMet_Mono	CBSX_BPRNACan3DProMet_Neu	CBSX_BPRNACan3DProMet_NK
5085	0.04099157896438863	0.21511882987072103	0.04823002791816682	0.00447261722690674	0	0.00721021000989822	0	0.282941334331031	0.3944867927827669	0.00654860889612072
5087	0.11818143808242468	0.32961294967270055	0.07190659446269548	0.00807955230437055	0	0.02617592113844096	0	0.2127436794271448	0.2272716837202134	0.00602818119200955
5088	0.06550618174298889	0.2822601627348167	0.09943179293715042	0.00359928698643039	0	0.01739664688751521	0	0.21371866623333816	0.3091920205317279	0.00889524194603229
5091	0.06651635007941346	0.3991418284861924	0.04645410512968719	0.02042467380656914	0	0.03537596375454082	0	0.14865356893307705	0.28011827969661957	0.00331523011390053
5092	0.05886237415871907	0.2614320830704404	0.01688109792434512	0	0	0.02750573244003686	0	0.3761264308466328	0.25898163197692486	2.1064958290079e-4
5093	0.00711956198947986	0.1575096022874199	0.062519211712186315	0.01291212354620389	0	0.00249147757935284	0	0.34350369296722255	0.41081877506591485	0.00312555485221985
5094	0.09164148129838254	0.25435692771722285	0.05768597130308453	0.00624246356687726	0	0.02243733774751408	0	0.1725835574805305	0.3730569188552088	0.02199534203117939
5095	0.07941776923266054	0.3118016056471546	0.07662665638019099	0.04226478982039679	0	0.019653967297011	0	0.19793274406531589	0.2661368956338551	0.00616557192341514
5097	0.07215156412509162	0.20092434667998005	0.1369680465570048	0.03886171253799805	0	0.05488091760275539	0	0.13751972134416574	0.35869369115300426	0
5098	0.01394957506130142	0.03851248540199629	0.03095076124709002	0	0	0.0043763369070951	0	0.09901000655508148	0.811412358666592	0.00178847616084378
5103	0.06864271014899985	0.237803256182619	0.02575006496902187	0.03680736472240232	0	0.00535461007463583	0	0.2820340712982901	0.33865533962679906	0.00495258297723178
5104	0.03696477610478627	0.13994453307428342	0.08617816317409512	0.01095116197402695	0	0.04237429045417403	0	0.1752367353620721	0.4984294674259103	0.00992087243065165
5105	0.02126948918368593	0.24878541626617365	0.0542933776815118	0	0	0.02278882416337833	0	0.28377996503120556	0.3662384139921672	0.00284451368187758
5108	0.05977152349408105	0.21379457603297583	0.04148990782577665	0	0	0.02350463107632411	0	0.2854286074441094	0.3700896600191306	0.00592109410760257
5115	0	0.08115570156987431	0.06041992858081808	0	0	0.00542710960000735	0	0.1324320995693062	0.7094315027821821	0.01113365789781202
5117	0.09497532978235426	0.2710717224327356	0.0061637092946322	0.00642454886657198	0	0.03188228225418475	0	0.3249279444671897	0.2608630271282134	0.00369143577411797
5120	0.03881613354405061	0.0773663886815197	0.18101048391512517	0	0	0.008029169620428	0	0.17433342480080402	0.5071626127641615	0.01328178667391096
5122	0.00863402069388176	0.09807254743024428	0.16619301582352242	0	0	0.01092306865386131	0	0.17174744257798072	0.5417917716184136	0.00263813320209589
5124	0.06126537678808956	0.2993771603916559	0.04987863820952705	0	0	0.07394096769937075	0	0.33440044391766865	0.1762034355479815	0.00493397744570662
