Samples	CBSX__scRNA-melanoma__Malignant	CBSX__scRNA-melanoma__Endothelial_cells	CBSX__scRNA-melanoma__CAF	CBSX__scRNA-melanoma__T_cells_CD8	CBSX__scRNA-melanoma__NK_cells	CBSX__scRNA-melanoma__Macrophages	CBSX__scRNA-melanoma__T_cells_CD4	CBSX__scRNA-melanoma__B_cells
IMMU-BC2-0118-FIXT-01	0.4675448231454012	0	0.45288232514610655	0.05875489999869289	0	0.02024039378538908	0	5.7755792441018e-4
IMMU-BC2-0118-FIXT-02	0.1402038993858904	0	0.6322967313462055	0	0.00911875196960816	0.2043652727271194	0.01401534457117653	0
IMMU-BC2-0132-FIXT-01	0	0.01313986884256696	0.9383550976929184	0	0	0.04389410936574596	0.00461092409876864	0
IMMU-BC2-0140-FIXT-01	0	6.9174615974385e-4	0.6893984003371539	0	0.06931123389480032	0.10187860277016687	0.11922776109779527	0.01949225574033981
IMMU-BC2-0140-FIXT-03	0	0.00164030642830349	0.6891437220525785	0	0.01159758692556081	0.1805183153144257	0.11710006927913152	0
IMMU-BC2-0145-FIXT-01	0.06884589059154177	0.03003241916743815	0.7417310809155279	0.0134992386116844	0	0.09076007699382496	0	0.05513129371998296
IMMU-BC2-0151-FIXT-01	0.3266437091313469	0.00107810452866495	0.6135314193932752	0	0	0.03129949066201174	0	0.02744727628470126
IMMU-BC2-0159-FIXT-02	0	0.04129765735532927	0.35081983672725403	0	0.00555233945987994	0.08336341147653704	0.20950083781908485	0.3094659171619149
IMMU-BC2-0163-FIXT-01	0.377245870375177	0.00355263580098749	0.5453304215653757	0	0	0.07312879254547437	0	7.4227971298548e-4
IMMU-BC2-0166-FIXT-01	0.2818607359899068	0	0.6094059795933247	0	0.00294033591179368	0.02351048733994041	0.08228246116503439	0
IMMU-BC2-0167-FIXT-01	0	0	0.6951128611118068	0	0	0.23169502354125313	0.07319211534694017	0
IMMU-BC2-0172-FIXT-01	0	0	0.5732105537576644	0	0.03515329896816162	0.23260846131367513	0.1509808764032574	0.0080468095572414
IMMU-BC2-0197-FIXT-02	0	0	0.3906514117548488	0.21648873959676992	0	0.2804562612112349	0	0.11240358743714644
IMMU-BC2-0202-FIXT-01	0.02833925059969884	0.00793225395449969	0.8164896033247704	0	0	0.07897599051590755	0.04141536207897478	0.02684753952614869
IMMU-BC2-0210-FIXT-01	0	0	0.377846784043237	0	0.01856524790017386	0.15222016674793132	0.18684633099014675	0.2645214703185109
IMMU-BC2-0211-FIXT-01	0	0	0.6444110721152193	0.04668191690242401	0.06193073794686529	0.22854074678757577	0	0.0184355262479156
IMMU-BC2-0215-FIXT-01	0.01095119733481225	3.8870142767627e-4	0.6616820828958786	0	0	0.172008247210716	0.13262368529771676	0.02234608583320021
IMMU-BC2-0217-FIXT-02	0	0.01037172219329489	0.6922751626250695	0	0.02462370202351935	0.12356712196400337	0.14514192382051835	0.00402036737359442
IMMU-BC2-0218-FIXT-01	0.35713214692723316	0.00917571896601156	0.46939411783317975	0	0	0.03759935250544848	0	0.12669866376812705
IMMU-BC2-0218-FIXT-02	0.14554491380191642	0.0124967381355829	0.5735710056967745	0.01669992936245409	0	0.14035257800009385	0	0.1113348350031783
IMMU-BC2-0223-FIXT-01	0.10398658695966378	0.0022683736527065	0.7625533726610878	0	0.00303341307310744	0.06504631873081651	0.06311193492261791	0
IMMU-BC2-0223-FIXT-02	0.1458884664081543	0.00519245231255968	0.7841653979017893	0	0	0.05267157301490134	0.01208211036259529	0
IMMU-BC2-0225-FIXT-01	0	0	0.5278381139570308	0	0	0.3590022109534994	0.11315967508946977	0
IMMU-BC2-0228-FIXT-01	0.04159773059098809	0.00981045784155966	0.755518250772527	0	0	0.08555894146832926	0.10751461932659594	0
IMMU-BC2-0229-FIXT-01	0.05160201653984246	0.01523939296128332	0.7577608956658123	0	0	0.08126891993064365	0.08972974615626067	0.00439902874615759
IMMU-BC2-0232-FIXT-01	0	0	0.6660897274390616	0	0.04480570245544914	0.0904504704280598	0.16268479729750923	0.03596930237992031
IMMU-BC2-0245-FIXT-01	0.1165774991724868	0.00603213106054077	0.839865089514665	0	0	0.03402555210242204	3.1059472519471e-4	0.00318913342469063
IMMU-BC2-0252-FIXT-01	0	0	0.38583317344104584	0	0.03110167416970606	0.36929211459423267	0.16702531346460062	0.04674772433041479
IMMU-BC2-0254-FIXT-01	0.18242692815383868	0	0.5920378824439948	0	0.00393958104990646	0.0715694425638442	0.05889975908425207	0.09112640670416385
IMMU-BC2-0260-FIXT-01	0.2849545706729645	0	0.36032379045774904	0	0	0.08631593691560918	0.21092810594776107	0.0574775960059162
IMMU-BC2-0261-FIXT-01	0.07264363537966181	0	0.7167804508926326	0	0	0.1516006114493231	0.05384571590514706	0.0051295863732354
IMMU-BC2-0265-FIXT-01	0.14263779676402272	0.04278952676303632	0.5455011104751128	0.0953718577338678	0	0.17178338015157765	0	0.00191632811238265
IMMU-BC2-0277-FIXT-01	0.19791499916339356	0	0.27734211903456973	0	0.0960356413339167	0.25871884899102876	0.1400939794276125	0.02989441204947879
IMMU-BC2-0279-FIXT-01	0	0	0.35973492975488053	0	0.14654325034950785	0.24755892717576167	0.24616289271985	0
IMMU-BC2-0282-FIXT-01	0.19364663726145953	0	0.6395640806539827	0.00455899350018209	0	0.1447066438607086	0	0.01752364472366713
IMMU-BC2-0283-FIXT-01	0.02347307093069517	0	0.4616388549985748	0	0.07318247083439552	0.21603461163413615	0.2256709916021983	0
IMMU-BC2-0283-FIXT-02	0	0	0.4149814527836894	0	0.04268755801003166	0.4567067802239723	0.08562420898230658	0
IMMU-BC2-0285-FIXT-01	0.1750151561549623	0.00665941085981742	0.7923169943091533	0	0	0.02600843867606709	0	0
IMMU-BC2-0288-FIXT-01	0.00731804726885989	0	0.6526255896581498	0	0	0.17297456293490335	0.15308333276696243	0.01399846737112445
IMMU-BC2-0290-FIXT-01	0.00634924926557413	0	0.6847921375148661	0	0	0.1093228390769288	0.15142998610757602	0.0481057880350548
IMMU-BC2-0298-FIXT-01	0.05190035655685101	0.00113934305928028	0.8823996216807495	0	6.7176362266988e-4	0.00395429003544892	0.05824483662437432	0.00168978842062611
IMMU-BC2-0309-FIXT-01	0.07294301263861577	0.01858519716119268	0.5525274760441726	0	0.05849231903497906	0.0927576370572196	0.173828827883296	0.03086553018052434
IMMU-BC2-0312-FIXT-01	0.025161171170401	0.01259406720261889	0.7254741000282952	0	0.02911918892071699	0.16408141272279406	0.04357005995517391	0
IMMU-BC2-0316-FIXT-01	0.1232821727775875	0	0.396875020916065	0	0	0.06600164561244865	0.383055094121497	0.03078606657240188
IMMU-BC2-0333-FIXT-01	0.14071375183507454	0	0.7796270739516482	0	0	0.07965917421327715	0	0
IMMU-BC2-0339-FIXT-01	0.12789409861706966	0.01099807142358821	0.6755556171277071	0	0.00346229928969127	0.1538918056735688	0.02057116347660234	0.00762694439177268
IMMU-BC2-0355-FIXT-01	0	0	0.6422299099884223	0	0.02172513163701474	0.0855365522363457	0.19725466355918475	0.05325374257903258
IMMU-BC2-0362-FIXT-01	0.1362256082028647	0	0.39593064784820914	0	0.01384986416808047	0.05627921144341715	0.34862916007909733	0.04908550825833117
IMMU-BC2-0371-FIXT-01	0.2845345194877172	0	0.45325893178270654	0.01253964123803762	0	0.12767879533274765	0	0.121988112158791
IMMU-BC2-0372-FIXT-01	0.08019312024758285	0	0.8037695148375484	0	0	0.10585899900354724	0.01017836591132156	0
IMMU-BC2-0374-FIXT-01	0.03225170702492367	0.03684256587705507	0.7668089671839127	0	0	0.0527340598000656	0	0.11136270011404316
IMMU-BC2-0374-FIXT-02	0.02087124687845998	0.01311152322552731	0.822817620900012	0	0	0.03860499379681359	0.07895286728418163	0.0256417479150054
IMMU-BC2-0377-FIXT-01	0.22095649636475792	0.02631892930002806	0.65743193343519	0	0.01214079237425992	0.05994714678406612	0.02204789863398813	0.00115680310770996
IMMU-BC2-0380-FIXT-01	0	0	0.7368314325494347	0	0	0.19265179550850212	0	0.07051677194206309
IMMU-BC2-0387-FIXT-01	0.0953127339129772	0.00877008314950242	0.629386266642993	0	0	0.10221416481582787	0.1142419468121124	0.05007480466658703
IMMU-BC2-0391-FIXT-01	0.04793483707428134	0	0.8439667934506525	0	0	0.0869669388643022	0.01933639249259436	0.0017950381181697
IMMU-BC2-0392-FIXT-01	0.05974560352340455	0.02732137854365742	0.6053624107229642	0	0.00437398670662852	0.1692066035873221	0.1327763698894148	0.00121364702660853
IMMU-BC2-0402-FIXT-01	0.06604275104578201	0.01140585188162094	0.6118557670586684	0	0	0.0436700879160001	0.2670255420979285	0
IMMU-BC2-0403-FIXT-01	0.2589707063471331	0.00746871626766292	0.7168771738428302	0	0	0.01668340354237374	0	0
IMMU-BC2-0404-FIXT-01	0.2368424806983057	0	0.5747259918250569	0	0	0.05491170082275326	0.11254299678753144	0.02097682986635267
IMMU-BC2-0405-FIXT-01	0.08974311814632147	0.0603509056122127	0.33021607862204855	0	0.05209018943197944	0.10203009272081252	0.3655696154666254	0
IMMU-BC2-0409-FIXT-01	0	0.0369412176292414	0.5075702397172542	0	0.00319734958667419	0.2004312699293977	0	0.2518599231374326
IMMU-BC2-0414-FIXT-01	0.02210659464299953	0	0.6146555428039234	0	0	0.1464099619022706	0.181498367292434	0.03532953335837243
IMMU-BC2-0430-FIXT-01	0.26597582366233785	9.4627241199455e-4	0.5528316397696343	0.04827289981209518	0	0.10790398524040772	0	0.02406937910353028
IMMU-BC2-0538-FIXT-01	0	0	0.44960752038137536	0	0.04502787683627343	0.20316640373728967	0.22684697669620177	0.07535122234885981
IMMU-BC2-0546-FIXT-02	0.00117683318762184	0	0.7971359425462547	0	0	0.09141401625543968	0.0935793419035944	0.01669386610708935
IMMU-BC2-0744-FIXT-01	0	0	0.9229361907753362	0	0	0.06840855657591165	0	0.00865525264875219
IMMU-BC2-0748-FIXT-01	0.14697497664020942	0.0059174793048139	0.7007036405202961	0	0	0.02845928477999287	0.11794461875468776	0
IMMU-BC2-0752-FIXT-01	3.5120410565533e-4	0	0.8579905903609087	0	0	0.05475504255247557	0.08690316298096032	0
IMMU-BC2-0753-FIXT-01	0	0	0.742471597211412	0	0.00824355460771896	0.18099464970960005	0.068290198471269	0
IMMU-BC2-0755-FIXT-01	0.07401839702204498	0.01043430749455288	0.7699989906850351	0	0	0.07083192503319813	0.00722660537603586	0.06748977438913305
IMMU-BC2-0756-FIXT-01	0.02726342960060131	0.02576410090881099	0.7636055864694651	0	0	0.06492601390354102	0.07581901107364991	0.04262185804393159
IMMU-BC2-0764-FIXT-01	0	0.01365824006544714	0.915585486796504	0	0.00311331214522229	0.0676429609928265	0	0
IMMU-BC2-0775-FIXT-01	0.21290199028376283	0.00398413952787353	0.6871609247038323	0	0.00580429886883529	0.04921686056304277	0.04093178605265313	0
IMMU-BC2-0776-FIXT-01	0.03588493181250608	0	0.5577346753263644	0	0	0.15034783475069186	0.21896176909312193	0.03707078901731554
IMMU-BC2-0776-FIXT-02	0.01426463395473615	0.01776450533414705	0.8547871562713932	0.00430547296460961	0	0.09449261190039925	0.01438561957471475	0
IMMU-BC2-0777-FIXT-01	0.00842843087497431	0.01353559163787163	0.834871900675806	0	0	0.07270111753052233	0.07046295928082576	0
IMMU-BC2-0778-FIXT-01	0.1819940748111133	0	0.5487261210602555	0	0.01896017977513074	0.2011475716125782	0.04917205274092228	0
IMMU-BC2-0781-FIXT-01	0.1757002495392742	0.01627788751487548	0.6305575953793803	0.03039671833878538	0	0.09866400606000132	0	0.04840354316768335
