Mixture	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK	P-value	Correlation	RMSE
Hugo_Cell_2016-Pt1	0.17881557912769111	0.34094716737100639	0.00000000000000000	0.00000000000000000	0.05629189030551535	0.02165310592261676	0.15580736570283310	0.13616899250240952	0.07950313527022412	0.01881561854244061	0.01199714525526297	0.00000000000000000	0.49515450830624758	0.94434646314618842
Hugo_Cell_2016-Pt2	0.21234635778304209	0.40296595924271361	0.00000000000000000	0.00000000000000000	0.04251670362606831	0.02349688888087496	0.11259246337233990	0.07650705207795817	0.09513383941230551	0.01843055573755752	0.01601017986713970	0.00000000000000000	0.60575831449960471	0.94200477718368347
Hugo_Cell_2016-Pt4	0.20129310585864657	0.41040004812518427	0.00000000000000000	0.00000000000000000	0.04307328151758434	0.03279567025117814	0.12593333826490968	0.06568298250262808	0.09123366844007562	0.01477281248144350	0.01481509255834981	0.00000000000000000	0.56217834892219021	0.94411444103424502
Hugo_Cell_2016-Pt5	0.16164008671237262	0.41918579401548434	0.00000000000000000	0.00000000000000000	0.04164870558042157	0.02569929422059347	0.13542251349305143	0.10513386016714810	0.07967647574405487	0.01669314077692946	0.01490012928994389	0.00000000000000000	0.57641883665941973	0.94601413150217717
Hugo_Cell_2016-Pt6	0.16477401770028458	0.34171580765087733	0.00000000000000000	0.00000000000000000	0.05838192543691954	0.04331601525731777	0.16093057513311712	0.13180876525797575	0.08746252137021827	0.00283056371621294	0.00877980847707684	0.00000000000000000	0.53577797505625424	0.93059463883130300
Hugo_Cell_2016-Pt7	0.16325110948396143	0.34195387022511364	0.00000000000000000	0.00000000000000000	0.05424844745332977	0.02457370687362325	0.19068012184495750	0.13688662361017651	0.07379902985566304	0.00571561092849248	0.00889147972468218	0.00000000000000000	0.47106475070681314	0.94910199640049309
Hugo_Cell_2016-Pt8	0.19539202631869054	0.39745058711559622	0.00000000000000000	0.00000000000000000	0.04045555800355348	0.03025229149483209	0.13133341845183988	0.07826716621945984	0.09410893085413130	0.01838695517466577	0.01435306636723092	0.00000000000000000	0.62358045887517655	0.94024962855883543
Hugo_Cell_2016-Pt9	0.16293159072704125	0.32968848543593610	0.00000000000000000	0.00000000000000000	0.05740531458459402	0.04925710318719915	0.15215811508948995	0.14679168007803692	0.08633189427992220	0.00641760131872602	0.00901821529905426	0.00000000000000000	0.58419857450215762	0.92164913812189209
Hugo_Cell_2016-Pt10	0.16357195520094636	0.35102392170704894	0.00000000000000000	0.00000000000000000	0.07424210917431062	0.03062890580649705	0.14561167495423080	0.12646193950538728	0.08167503369385948	0.01860493013804801	0.00817952981967137	0.00000000000000000	0.48969102052449054	0.92847324490314431
Hugo_Cell_2016-Pt12	0.16158586015314369	0.34656972758497345	0.00000000000000000	0.00000000000000000	0.05013470745416990	0.04062475630447470	0.17653879461536692	0.12452250103211016	0.08679311844728702	0.00221670866918147	0.01101382573929285	0.00000000000000000	0.50088612863207826	0.94442320003244362
Hugo_Cell_2016-Pt13	0.17488729714372886	0.33942465488400680	0.00000000000000000	0.00000000000000000	0.03509779265862740	0.03540878835314233	0.16314250807895236	0.12198462958354038	0.09644923017580657	0.02066965532832441	0.01293544379387085	0.00000000000000000	0.52182448054089003	0.95736984359013355
Hugo_Cell_2016-Pt14	0.17052132589986693	0.34327399177002077	0.00000000000000000	0.00000000000000000	0.04216669115203762	0.05459532442306556	0.16115121772953719	0.09786183300397694	0.09646447937071059	0.02243061757887537	0.01153451907190890	0.00000000000000000	0.54647200774541871	0.94170370681134197
Hugo_Cell_2016-Pt15	0.20319592711810069	0.38826195550368320	0.00000000000000000	0.00000000000000000	0.03127204509248964	0.02210750806922711	0.14663426024964119	0.11384947966970531	0.08162397359380044	0.00000000000000000	0.01305485070335255	0.00000000000000000	0.55614021530774471	0.96098200224863128
Hugo_Cell_2016-Pt19	0.19172758627865383	0.38220664274687061	0.00000000000000000	0.00000000000000000	0.03718202701343101	0.01440700968403824	0.17639987127023976	0.09258038473790260	0.08481573105721668	0.00526730570561308	0.01541344150603422	0.00000000000000000	0.46146130560967336	0.96688463217922682
Hugo_Cell_2016-Pt20	0.18296257576563235	0.36146476679572448	0.00000000000000000	0.00000000000000000	0.04895769444252447	0.01990791969283740	0.15905590988878171	0.11665198596057590	0.07283233782395980	0.01792153075403927	0.02024527887592464	0.00000000000000000	0.56355946135854240	0.94188752619051919
Hugo_Cell_2016-Pt22	0.17535750838017936	0.34643953807144395	0.00000000000000000	0.00000000000000000	0.05032148609353472	0.03224804252457084	0.14850641024139485	0.12761337743894305	0.08986801963505368	0.01848526057972270	0.01116035703515690	0.00000000000000000	0.52220114283031993	0.94317289585508113
Hugo_Cell_2016-Pt23	0.17298758246141582	0.34596595642491185	0.00000000000000000	0.00000000000000000	0.03829003177161568	0.03105925085788897	0.17127379600956955	0.13624542429291644	0.07493093179613956	0.01798630093463901	0.01126072545090318	0.00000000000000000	0.47278371848267547	0.96099967229014915
Hugo_Cell_2016-Pt25	0.21374091695604147	0.42744641171383019	0.00000000000000000	0.00000000000000000	0.02770671020552716	0.01854890339817485	0.11173942318816252	0.06966931963623052	0.09015495658382031	0.02299295250586821	0.01800040581234472	0.00000000000000000	0.57351254171269295	0.96412941476229630
Hugo_Cell_2016-Pt27A	0.19343316461836332	0.38977815362268448	0.00000000000000000	0.00000000000000000	0.03704108425436603	0.03359057559238383	0.13308275825055962	0.08989351707511468	0.09024850055707770	0.01828654902660019	0.01464569700285013	0.00000000000000000	0.62496710886680340	0.94325504632433277
Hugo_Cell_2016-Pt27B	0.20072295575406487	0.40300583778078375	0.00000000000000000	0.00000000000000000	0.04354870158557255	0.02449750091160314	0.14324043670413400	0.07902409829666918	0.09045618142159302	0.00210754773487739	0.01339673981070210	0.00000000000000000	0.62915825120648761	0.93748452938551741
Hugo_Cell_2016-Pt28	0.17572497727133274	0.35283201154504162	0.00000000000000000	0.00000000000000000	0.04737715030927911	0.03567905258333461	0.15630554271763522	0.11706446278964849	0.08167570787655651	0.01950905491451208	0.01383203999265965	0.00000000000000000	0.53625693355666704	0.94307205881206191
