Mixture	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK	P-value	Correlation	RMSE
LUNG-NSCLC2-0553	0.24762737681653393	0.06907621945968154	0.00000000000000000	0.00000000000000000	0.08382146051329599	0.12521886180836186	0.23551012496985865	0.00000000000000000	0.14672739090966613	0.09201856552260190	0.00000000000000000	0.00000000000000000	0.31024077619890722	0.95471333374321210
LUNG-NSCLC2-0560	0.21879870425163225	0.03069810469960159	0.00000000000000000	0.00000000000000000	0.10050046926691436	0.07439267480281499	0.29661986488744652	0.10055778748496293	0.13218041977566056	0.04625197483096687	0.00000000000000000	0.00000000000000000	0.23438304922145373	0.97512578098149172
LUNG-NSCLC2-0561	0.17794814496034844	0.02823504793944634	0.02630341684512857	0.00000000000000000	0.01764481507850017	0.12319860189611993	0.33445220499502626	0.15961302339445710	0.10542154149145416	0.02718320339951896	0.00000000000000000	0.00000000000000000	0.25673663199996177	0.97524479121171159
LUNG-NSCLC2-0563	0.20115466405251078	0.01005513478536558	0.02947170427422216	0.00496193212759978	0.01615808091004724	0.14589887750260699	0.37702485623449478	0.11775307379750592	0.07989731260385495	0.01762436371179183	0.00000000000000000	0.00000000000000000	0.37418558219860676	0.94936288498790355
LUNG-NSCLC2-0565	0.23788070391733462	0.06688846757960483	0.00000000000000000	0.00000000000000000	0.10178539682914341	0.19328928255049591	0.21259826185248551	0.07868005422569412	0.08204130000143393	0.02683653304380764	0.00000000000000000	0.00000000000000000	0.55482180104054080	0.86125200194182794
LUNG-NSCLC2-0566	0.23534531917094711	0.02943610300117542	0.00000000000000000	0.00557039730917594	0.08952295169123983	0.08235924706148925	0.29231974427061114	0.13088139603252330	0.08903262861072217	0.04553221285211597	0.00000000000000000	0.00000000000000000	0.43913341285234525	0.92206153412450576
LUNG-NSCLC2-0567	0.19395925878007669	0.17947075860426093	0.02095289330887531	0.00000000000000000	0.05074527754853221	0.12181106722087189	0.20341303646119188	0.10854338003003577	0.11089434913012303	0.01020997891603235	0.00000000000000000	0.00000000000000000	0.54797652926500884	0.89804303502194449
LUNG-NSCLC2-0568	0.21973446410008859	0.07587218809229035	0.00000000000000000	0.00000000000000000	0.08584203570813119	0.07806365066989672	0.27356667476654106	0.17201113181380384	0.09490985484924827	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.27971260349748722	0.96456000617738358
LUNG-NSCLC2-0569	0.21180588002849821	0.02824652020003688	0.00000000000000000	0.00000000000000000	0.07912610373699797	0.09582199688208708	0.29133332108118359	0.13895544993787395	0.14040680797774407	0.01430392015557819	0.00000000000000000	0.00000000000000000	0.33367078242812970	0.95200538466428275
LUNG-NSCLC2-0571	0.23720623307788119	0.28500415135060525	0.00000000000000000	0.00000000000000000	0.06865032661091884	0.12890212176307977	0.12648979711774586	0.05520801401844399	0.09853935606132508	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.67406148932074805	0.86448578216448968
LUNG-NSCLC2-0572	0.22882771873909827	0.16865212892854906	0.03574383316329979	0.00000000000000000	0.03126206263528881	0.11589547007570564	0.15727382054027023	0.13274755256463891	0.12165669075067656	0.00794072260247265	0.00000000000000000	0.00000000000000000	0.56228189419016228	0.89975731800473935
LUNG-NSCLC2-0576	0.16260222185065470	0.21336326188971255	0.00000000000000000	0.00000000000000000	0.08399386418096998	0.10381172429855205	0.19485073734331501	0.11388106356158414	0.09143084612808000	0.03606628074713153	0.00000000000000000	0.00000000000000000	0.46650726471529796	0.91448745578512369
LUNG-NSCLC2-0580	0.19946356295568365	0.00000000000000000	0.00462102401455250	0.00000000000000000	0.04509267874762911	0.16061727419580432	0.27113713381810162	0.10342412663104623	0.15184107116537376	0.06380312847180887	0.00000000000000000	0.00000000000000000	0.40511416444354953	0.93943317503259216
