Samples	CBSX__NSCLC-scRNAseq__T_cells_CD8	CBSX__NSCLC-scRNAseq__Monocytes	CBSX__NSCLC-scRNAseq__T_cells_CD4	CBSX__NSCLC-scRNAseq__NKT_cells	CBSX__NSCLC-scRNAseq__B_cells	CBSX__NSCLC-scRNAseq__NK_cells
IMMU-BC2-0118-FIXT-01	0.14890154235528344	0.29427284254713837	0	0	0.5568256150975782	0
IMMU-BC2-0118-FIXT-02	0.25786209831644125	0.05023646724167512	0	0	0.6206640304602711	0.07123740398161253
IMMU-BC2-0132-FIXT-01	0.2636990638557435	0.00730008234124941	0	0	0.6974122181942137	0.03158863560879324
IMMU-BC2-0140-FIXT-01	0.05919046839215741	0	0.40998995546909023	0	0.4865578231166927	0.04426175302205954
IMMU-BC2-0140-FIXT-03	0.26434332442369274	0	0	0	0.6492302985444519	0.0864263770318553
IMMU-BC2-0145-FIXT-01	0.2065932637516039	0.1946880983790328	0	0	0.5987186378693633	0
IMMU-BC2-0151-FIXT-01	0.26491025829621506	0	0	0	0.7350897417037852	0
IMMU-BC2-0159-FIXT-02	0.03067269088347935	0.0370766007372928	0.36131132372391217	0	0.5611312065285691	0.00980817812674659
IMMU-BC2-0163-FIXT-01	0.27218565640588716	0	0.28600499798966506	0	0.4418093456044477	0
IMMU-BC2-0166-FIXT-01	0.14687506190848376	0	0.6171490551889537	0	0.23597588290256255	0
IMMU-BC2-0167-FIXT-01	0.29840230884777547	0	0	0	0.7015976911522245	0
IMMU-BC2-0172-FIXT-01	0.1847484164214795	0.09007840952976556	0.16410836827665204	0	0.5610648057721028	0
IMMU-BC2-0197-FIXT-02	0.1390078754388971	0	0.2994481097448926	0	0.3996662866010086	0.16187772821520147
IMMU-BC2-0202-FIXT-01	0.20639108216321683	0	0.30240188671935503	0	0.4093265650738511	0.0818804660435771
IMMU-BC2-0210-FIXT-01	0.4509258290608755	0	0.06751211554086216	0	0.4815620553982624	0
IMMU-BC2-0211-FIXT-01	0.10992950993783702	0.00290849405556539	0.41925498834924657	0	0.3759694394975472	0.0919375681598038
IMMU-BC2-0215-FIXT-01	0.3165112481217548	0	0.19155842941740983	0	0.49193032246083535	0
IMMU-BC2-0217-FIXT-02	0.2124937490025905	0	0.2964865187096631	0	0.3304783125882913	0.16054141969945496
IMMU-BC2-0218-FIXT-01	0.2434006209897806	0.04824253373866576	0	0	0.7083568452715537	0
IMMU-BC2-0218-FIXT-02	0.1665118185160072	0	0.15565635194513766	0	0.5871514072794101	0.09068042225944505
IMMU-BC2-0223-FIXT-01	0.12986074814112583	0	0.22836365613347845	0	0.5149577618026739	0.12681783392272178
IMMU-BC2-0223-FIXT-02	0.4840482588618246	0	0.12876028311634746	0	0.38719145802182786	0
IMMU-BC2-0225-FIXT-01	0.04735612034954139	0.6260344209463728	0.1174855828781376	0	0.17313259197281217	0.03599128385313591
IMMU-BC2-0228-FIXT-01	0.1333010805934575	0.6134848757287875	0.17382170268859526	0	0.07939234098915965	0
IMMU-BC2-0229-FIXT-01	0	0	0.6217084113984943	0	0.18143729328492744	0.19685429531657825
IMMU-BC2-0232-FIXT-01	0.37545203851348874	0	0.2596538237116463	0	0.3628753823514866	0.00201875542337836
IMMU-BC2-0245-FIXT-01	0.5270791529061306	0.01078460980574903	0.1822159675465346	0	0.2799202697415859	0
IMMU-BC2-0252-FIXT-01	0.11563702674517722	0.07128871058062987	0.19197614689316755	0	0.6119980024502792	0.00910011333074615
IMMU-BC2-0254-FIXT-01	0.4053330786561726	0	0	0	0.5946669213438274	0
IMMU-BC2-0260-FIXT-01	0.04110743207148947	0	0.7192345392711345	0	0.19889851834672945	0.04075951031064662
IMMU-BC2-0261-FIXT-01	0.23660059272851605	0.02842774722989887	0.04618147103173522	0	0.5707859783847279	0.11800421062512194
IMMU-BC2-0265-FIXT-01	0	0	0.19936148560174816	0	0.7973268693346409	0.00331164506361077
IMMU-BC2-0277-FIXT-01	0.5589932492883741	0	0.01334117842942466	0	0.35684167449184584	0.07082389779035546
IMMU-BC2-0279-FIXT-01	0.33482089108993934	0	0.01300339038533944	0	0.6177063212001365	0.03446939732458469
IMMU-BC2-0282-FIXT-01	0.12439445150971722	0	0.23930271389478225	0	0.575156563800509	0.06114627079499165
IMMU-BC2-0283-FIXT-01	0.08101357929681002	0	0.4257141233585816	0	0.34899009017295013	0.1442822071716582
IMMU-BC2-0283-FIXT-02	0.12313938572379554	0.05960295316025987	0.0299137438666183	0	0.7084581757937918	0.07888574145553455
IMMU-BC2-0285-FIXT-01	0	0	0.3320085274819504	0	0.6679914725180496	0
IMMU-BC2-0288-FIXT-01	0.1051898253762388	0	0.4537965433306589	0	0.31548031343344196	0.1255333178596605
IMMU-BC2-0290-FIXT-01	0.2632406525344254	0	0.25433817249036006	0	0.4824211749752145	0
IMMU-BC2-0298-FIXT-01	0	0	0.7161052793422135	0	0.17516244004774054	0.10873228061004604
IMMU-BC2-0309-FIXT-01	0.01025426060593749	0	0.5449142487700434	0	0.37279065893548374	0.07204083168853538
IMMU-BC2-0312-FIXT-01	0.2509873925874111	0	0.24266456046317153	0	0.5063480469494174	0
IMMU-BC2-0316-FIXT-01	0	0	0.4058249294206307	0	0.3297365910649991	0.2644384795143702
IMMU-BC2-0333-FIXT-01	0.01799949557715223	0	0.370143823838176	0	0.5161636586287098	0.09569302195596216
IMMU-BC2-0339-FIXT-01	0.457128385733322	0	0.06582572941629518	0	0.4770458848503828	0
IMMU-BC2-0355-FIXT-01	0.14288231189289452	0	0.374579682247783	0	0.30070559661210833	0.18183240924721425
IMMU-BC2-0362-FIXT-01	0.16889366037310358	0	0.38982277748519006	0	0.32859338726348836	0.11269017487821784
IMMU-BC2-0371-FIXT-01	0.4101168115053851	0	0.24667896552765295	0	0.34320422296696185	0
IMMU-BC2-0372-FIXT-01	0.07918213615408605	0	0.12920193063155228	0	0.5803317168867743	0.2112842163275873
IMMU-BC2-0374-FIXT-01	0.21424555084320593	0	0	0	0.7202068355161656	0.06554761364062847
IMMU-BC2-0374-FIXT-02	0.46440815125140417	0	0.19614108396899127	0	0.3394507647796046	0
IMMU-BC2-0377-FIXT-01	0.23822923267464463	0	0.19647998210993617	0	0.5652907852154192	0
IMMU-BC2-0380-FIXT-01	0.5398070413305747	0	0	0	0.4601929586694253	0
IMMU-BC2-0387-FIXT-01	0.3316327843743065	0	0.0968285326754877	0	0.5715386829502057	0
IMMU-BC2-0391-FIXT-01	0.5347439460870768	0	0.183949605842754	0	0.2813064480701692	0
IMMU-BC2-0392-FIXT-01	0.13219595129459005	0	0.2822604083628785	0	0.41895412431570767	0.1665895160268237
IMMU-BC2-0402-FIXT-01	0.1913410410121383	0	0.5786167738570994	0	0.05453786375107125	0.17550432137969096
IMMU-BC2-0403-FIXT-01	0.360362335913351	0.3851121694089992	0	0	0.22749201892693877	0.02703347575071116
IMMU-BC2-0404-FIXT-01	0	0.27586433857198517	0.3338102294590497	0	0.31835121379347553	0.07197421817548957
IMMU-BC2-0405-FIXT-01	0.5463207960686984	0	0	0	0.4536792039313016	0
IMMU-BC2-0409-FIXT-01	0.1841258776115099	0	0.1710764877537133	0	0.6405374787008158	0.00426015593396094
IMMU-BC2-0414-FIXT-01	0.09060413146464198	0.00591420247897014	0.3013159312015614	0	0.4923903644142173	0.1097753704406092
IMMU-BC2-0430-FIXT-01	0	0.01793506180805284	0.44516749954253826	0.04457907447195211	0.4923183641774568	0
IMMU-BC2-0538-FIXT-01	0.0878451023722289	0	0.25262412319576916	0	0.6132082783248729	0.04632249610712903
IMMU-BC2-0546-FIXT-02	0.2620216968947489	0	0.23915649066493028	0	0.4988218124403208	0
IMMU-BC2-0744-FIXT-01	0.2828309985385843	0	0.31468199025371524	0	0.4024870112077005	0
IMMU-BC2-0748-FIXT-01	0.6665804004037216	0	0	0	0.3334195995962784	0
IMMU-BC2-0752-FIXT-01	0.40117245660664513	0	0.26493019855466504	0	0.3338973448386899	0
IMMU-BC2-0753-FIXT-01	0.15051368972425888	0	0.34700376571989633	0	0.36895554911036754	0.13352699544547728
IMMU-BC2-0755-FIXT-01	0.34457041803096666	0	0.1505832049647173	0	0.5048463770043161	0
IMMU-BC2-0756-FIXT-01	0.07646807566944377	0	0.2716685615503147	0	0.5801384735651881	0.0717248892150534
IMMU-BC2-0764-FIXT-01	0.2564177137264256	0.406315696323474	0	0	0.16184960630053563	0.17541698364956484
IMMU-BC2-0775-FIXT-01	0.3211576294123097	0	0	0	0.6788423705876903	0
IMMU-BC2-0776-FIXT-01	0	0	0.46134630583477454	0	0.5386536941652256	0
IMMU-BC2-0776-FIXT-02	0.0089014017012206	0	0.29344487812357456	0	0.6456560437839071	0.05199767639129766
IMMU-BC2-0777-FIXT-01	0.41759613713961247	0	0.12729201129044518	0	0.4551118515699423	0
IMMU-BC2-0778-FIXT-01	0.11745884213231458	0	0	0	0.8321649360096168	0.05037622185806859
IMMU-BC2-0781-FIXT-01	0.03850995894962234	0.5785004910705822	0.01624111907255691	0	0.3667484309072386	0
IMMU-BC2-0784-FIXT-01	0.309823669115135	0	0.2533920058513975	0	0.43678432503346754	0
IMMU-BC2-0785-FIXT-01	0.3714687458288588	0	0	0	0.6285312541711412	0
IMMU-BC2-0792-FIXT-01	0.27146534069199885	0	0.00302314728973399	0	0.725511512018267	0
IMMU-BC2-0794-FIXT-01	0.17234654558169613	0	0	0	0.8276534544183038	0
IMMU-BC2-0797-FIXT-01	0.1970242141624259	0	0.04947810742385433	0	0.641011570275893	0.1124861081378267
IMMU-BC2-0801-FIXT-01	0.3905082010051482	0	9.7906827490057e-4	0	0.6085127307199513	0
IMMU-BC2-0804-FIXT-01	0.22895036257160628	0	0.10743494090357548	0	0.5416338899601832	0.12198080656463506
IMMU-BC2-0805-FIXT-01	0.13294948186591876	0	0.4019309128752675	0	0.3142527598554122	0.15086684540340153
IMMU-BC2-0812-FIXT-01	0.159158615148892	0	0.30452703112849966	0	0.4074166440444382	0.12889770967817005
IMMU-BC2-0813-FIXT-01	0.4274903953178007	0	0.05043408220641032	0	0.522075522475789	0
IMMU-BC2-0815-FIXT-01	0.43880347247112367	0.06350808885160314	0	0	0.497688438677273	0
IMMU-BC2-0815-FIXT-01	0.4676319029466752	0.1211127204450582	0	0	0.4112553766082668	0
IMMU-BC2-0829-FIXT-01	0.1579311827124654	0	0.3111356553204025	0	0.5309331619671321	0
IMMU-BC2-0832-FIXT-01	0.4654380854433759	0	0.18586165037808497	0	0.3487002641785392	0
IMMU-BC2-0834-FIXT-01	0.3145123237761416	0	0	0	0.6854876762238584	0
IMMU-BC2-0842-FIXT-01	0.28132486151572017	0	0	0	0.7186751384842799	0
