Mixture	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells	P-value	Correlation	RMSE
Patient100	0.02141569771581381	0.18122786093636947	0.00329591813726002	0.55358238688306383	0.00342247509558420	0.00000000000000000	0.00000000000000000	0.22869363864185838	0.00836202259005035	0.00000000000000000	0.00000000000000000	0.30512030496819864	0.96330039995601280
Patient102	0.00000000000000000	0.00000000000000000	0.05429624194084226	0.20108664243322977	0.04379146797398948	0.00000000000000000	0.00000000000000000	0.69020697262238806	0.01061867502955043	0.00000000000000000	0.00000000000000000	0.13758806537160950	1.01485188379804092
Patient105	0.02888596119854239	0.00000000000000000	0.02513146213315468	0.05849560575737954	0.44756410142726971	0.00040937311378910	0.00000000000000000	0.35631126304861799	0.08228051966778224	0.00092171365346430	0.00000000000000000	0.02079084342214089	1.05277091441434512
Patient106	0.02764122379678622	0.00000000000000000	0.00000000000000000	0.60025970333886214	0.02212158408435098	0.00000000000000000	0.00000000000000000	0.32363183509091631	0.02634565368908440	0.00000000000000000	0.00000000000000000	0.04636777929887646	1.09262879837049720
Patient107	0.02334923548899656	0.12650558566426953	0.00000000000000000	0.05158327225184261	0.07285776543716185	0.00000000000000000	0.00000000000000000	0.63750831774625860	0.03232069331449984	0.05587513009697103	0.00000000000000000	0.13129714623558908	1.00771813373604280
Patient108	0.02499450012551426	0.00000000000000000	0.00256120738032311	0.07678934549185951	0.34307420123525961	0.00021387203392511	0.00128458677172378	0.55051164390315754	0.00000000000000000	0.00057064305823710	0.00000000000000000	0.02050096153019396	1.05286783936126094
Patient10	0.02761338964667553	0.02135311830112997	0.00000000000000000	0.15571497504465462	0.09297999553997190	0.00000000000000000	0.00000000000000000	0.60014130831801915	0.10219721314954884	0.00000000000000000	0.00000000000000000	0.14308826220297979	1.00840121470132038
Patient112	0.00630284341790259	0.02176768914893166	0.00000000000000000	0.08350331460786234	0.08432423276907015	0.00000000000000000	0.00000000000000000	0.56501886892511699	0.06932207159889807	0.16976097953221825	0.00000000000000000	0.06286825843631656	1.03157459663639872
Patient116	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.10263993039101225	0.05910409926795283	0.00000000000000000	0.00000000000000000	0.61359953403849710	0.10757606278859067	0.11708037351394714	0.00000000000000000	0.13775191851751653	1.00930715571191421
Patient117	0.00846482198377965	0.00674019356113566	0.00000000000000000	0.64486589494545776	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.30001560882427825	0.03991348068534877	0.00000000000000000	0.00000000000000000	0.23245761489751501	1.01156406921614384
Patient11	0.00000000000000000	0.01895519776074408	0.00000000000000000	0.38604184396990188	0.12249281856497674	0.00156073043875609	0.00000000000000000	0.36044027910693088	0.11050913015869035	0.00000000000000000	0.00000000000000000	0.07461770753300465	1.04740440483393948
Patient121	0.01300890979448512	0.00000000000000000	0.02993472822018702	0.41047392806666444	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44476616751985687	0.04750790783429992	0.05430835856450669	0.00000000000000000	0.09319448845484000	1.03880377260122425
Patient125	0.20259975461919724	0.26502039904589930	0.06284855504937351	0.41375032361316050	0.00583032993161865	0.00000000000000000	0.00000000000000000	0.04651861372319354	0.00343202401755739	0.00000000000000000	0.00000000000000000	0.39743166488610648	0.91919155489537274
Patient126	0.01777903032486891	0.00000000000000000	0.00278675035289239	0.52086571715323360	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44009714669835170	0.01847135547065317	0.00000000000000000	0.00000000000000000	0.14459672594381170	1.03522794184106681
Patient127	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12296935926964554	0.23874710681615868	0.00182648233077428	0.00000000000000000	0.40812512139282170	0.22833193019059975	0.00000000000000000	0.00000000000000000	0.02386830960023922	1.04448846639664850
Patient130	0.09538711992727647	0.01871027865150902	0.00000000000000000	0.56447307438298766	0.07681085426647606	0.00000000000000000	0.00000000000000000	0.24461867277175087	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.14007990150413893	1.04860494401601212
Patient131	0.00000000000000000	0.00000000000000000	0.04288394147179843	0.61641677115413551	0.12508975471926601	0.00000000000000000	0.00000000000000000	0.19376903039450472	0.02184050226029540	0.00000000000000000	0.00000000000000000	0.20447416621591066	1.02663915785176263
Patient132	0.03808070296998218	0.00561891365822726	0.09764389211069295	0.37649038647528849	0.03297098746186357	0.00000000000000000	0.00000000000000000	0.39323672652968289	0.05595839079426268	0.00000000000000000	0.00000000000000000	0.14093185419951923	1.01648208038604659
Patient133	0.01877741175993757	0.03832742213023270	0.00000000000000000	0.46460829283199973	0.26076112465308487	0.00036155190870017	0.00000000000000000	0.09840127912284445	0.04111468175746615	0.07764823583573431	0.00000000000000000	0.11578645857869943	1.05075405264230159
Patient134	0.13961894497035929	0.00000000000000000	0.08651138239283961	0.15043886538877960	0.02710162046604516	0.00011957956669390	0.00000000000000000	0.39981931832888695	0.05484984990270753	0.14154043898368796	0.00000000000000000	0.25343823275185512	0.97021706030164656
Patient135	0.01177293456376196	0.01424150150150535	0.00000000000000000	0.36927769531384153	0.06496707756315766	0.00000000000000000	0.00000000000000000	0.51461432975602306	0.02512646130171045	0.00000000000000000	0.00000000000000000	0.18164456732780968	1.00536715221843154
Patient137	0.07472512602350589	0.04043009175944472	0.11606079442996822	0.51909500199153624	0.07319136331416891	0.00000000000000000	0.00000000000000000	0.14648258364753794	0.03001503883383803	0.00000000000000000	0.00000000000000000	0.30963871848957009	0.96116583793626587
Patient13	0.00010860639237571	0.00000000000000000	0.00000000000000000	0.32484225743196893	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.61123606975985945	0.06381306641579600	0.00000000000000000	0.00000000000000000	0.06810342703049073	1.04681564184757314
Patient140	0.00000000000000000	0.00689119506170776	0.00000000000000000	0.40429558951312949	0.15423732542011159	0.00000000000000000	0.00000000000000000	0.27430781921772429	0.09253915443010598	0.06772891635722102	0.00000000000000000	0.05191822748065934	1.05834157108432292
Patient141	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20093717551543233	0.00000000000000000	0.00000000000000000	0.75347041060066211	0.04559241388390552	0.00000000000000000	0.00000000000000000	0.10430916631362550	1.02746614717700191
Patient142	0.01003323867972724	0.00000000000000000	0.03649758237528818	0.56056249314348883	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.38532026279480974	0.00758642300668591	0.00000000000000000	0.00000000000000000	0.18651477184335594	1.02086882881364849
Patient143	0.05298253356264256	0.10847278618497623	0.04872394229257959	0.10317222034218444	0.09941318796219326	0.01834768776743239	0.13440161144395693	0.24634149220446386	0.18814453823957081	0.00000000000000000	0.00000000000000000	0.05509445443444719	1.01940500933740053
Patient144	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.19007565681647631	0.01057013007216668	0.00000000000000000	0.00000000000000000	0.69654329727810560	0.10281091583325137	0.00000000000000000	0.00000000000000000	0.16659443342797289	1.00585461611256566
Patient145	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.42496636383724595	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.53518237761250742	0.03985125855024665	0.00000000000000000	0.00000000000000000	0.25998848392479568	0.97772647281256286
Patient146	0.00369119489736828	0.00000000000000000	0.00000000000000000	0.20405697777031656	0.01826041573519296	0.00000000000000000	0.00000000000000000	0.68317220586326211	0.09081920573386017	0.00000000000000000	0.00000000000000000	0.15817988157176746	1.00875724773835396
Patient147	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08327770074955496	0.11228667814999796	0.00000000000000000	0.00000000000000000	0.62154959394928899	0.18288602715115806	0.00000000000000000	0.00000000000000000	0.05032203205205861	1.03923367405703448
Patient148	0.01157274225276070	0.01936109995104709	0.00000000000000000	0.63757424259589890	0.09742271166752224	0.00000000000000000	0.00017478453582073	0.19265609803908770	0.04123832095786258	0.00000000000000000	0.00000000000000000	0.02035274300150043	1.11841115429161442
Patient149	0.00280968885901368	0.00000000000000000	0.07645457068068814	0.57312379907876831	0.00815308881649724	0.00000000000000000	0.00000000000000000	0.29394544243806781	0.04551341012696490	0.00000000000000000	0.00000000000000000	0.24293791757712668	0.99554712094137987
Patient14	0.00000000000000000	0.00000000000000000	0.05715390023959864	0.45456968761906835	0.02516000302577735	0.00000000000000000	0.00000000000000000	0.39415282677044783	0.06896358234510783	0.00000000000000000	0.00000000000000000	0.14119299025048423	1.02644141869104533
Patient150	0.21572874691904598	0.00000000000000000	0.00000000000000000	0.20496078162320427	0.16765582528914547	0.00000000000000000	0.00000000000000000	0.39963944617375263	0.01201519999485161	0.00000000000000000	0.00000000000000000	0.10978754213499377	1.04004959687326215
Patient154	0.00339330724600055	0.00000000000000000	0.00000000000000000	0.06845823669150393	0.00000000000000000	0.01605772312896415	0.00000000000000000	0.79695659111053130	0.11166179470571019	0.00347234711728998	0.00000000000000000	0.22128530276544087	0.98726507903497152
Patient155	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09604198185368869	0.01705497201281199	0.00000000000000000	0.00000000000000000	0.19974641711929123	0.02229328452252151	0.66486334449168660	0.00000000000000000	0.18944715586897171	1.04723707841908853
Patient156	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21358109939592482	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.67268626340621063	0.11373263719786447	0.00000000000000000	0.00000000000000000	0.11478397441029163	1.02460675883159236
Patient158	0.01642268045906319	0.06424023520646807	0.00000000000000000	0.52406441822443384	0.00650848265356139	0.00000000000000000	0.00000000000000000	0.33995315661727177	0.04881102683920183	0.00000000000000000	0.00000000000000000	0.12409992284018109	1.04175146466702051
Patient159	0.01785553713672229	0.01900287181596489	0.00000000000000000	0.34775584486973349	0.09335676182416172	0.00000000000000000	0.00000000000000000	0.41656110662824603	0.10546787772517154	0.00000000000000000	0.00000000000000000	0.03877070428970780	1.05460383758962006
Patient15	0.00003888807641318	0.00880458941412012	0.00000000000000000	0.36748232443294876	0.24364005663724303	0.00000000000000000	0.00000000000000000	0.35507893497986132	0.00333401095902257	0.02162119550039099	0.00000000000000000	0.04331471973666088	1.06364319246880501
Patient162	0.06091655783457393	0.01447946510629737	0.00000000000000000	0.64678797187835968	0.14120632686759504	0.00000000000000000	0.00000000000000000	0.13519610187495734	0.00141357643821668	0.00000000000000000	0.00000000000000000	0.09716520710801782	1.08961928515268203
Patient163	0.05151299364986772	0.00000000000000000	0.00000000000000000	0.20683767276774659	0.07558087194160167	0.00000000000000000	0.00000000000000000	0.59013162042002498	0.07593684122075896	0.00000000000000000	0.00000000000000000	0.05471255801120243	1.04114060701645506
Patient165	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.25303939300765327	0.08074880205076043	0.00000000000000000	0.00000000000000000	0.61741598477838655	0.04879582016319979	0.00000000000000000	0.00000000000000000	0.18667364016143301	0.99886075730477231
Patient166	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17426132359477461	0.00000000000000000	0.00000000000000000	0.64920736390234357	0.17653131250288179	0.00000000000000000	0.00000000000000000	0.07447474379866333	1.03183708999738588
Patient167	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.58067940378522165	0.03529471680178852	0.00000000000000000	0.00000000000000000	0.37902869558708752	0.00499718382590234	0.00000000000000000	0.00000000000000000	0.04158280253254061	1.09219821971508502
Patient168	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.14969502620887437	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.67398142445429898	0.17632354933682662	0.00000000000000000	0.00000000000000000	0.12390757643358691	1.01932952147893374
Patient169	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.46010179467102841	0.05144774323937810	0.00040964603082652	0.00000000000000000	0.43005189531827515	0.00871838233859736	0.04927053840189464	0.00000000000000000	0.22440364098732060	0.99416158993896830
Patient170	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15210831789502580	0.01645413828978566	0.00000000000000000	0.00000000000000000	0.54093864619537380	0.04163790179472396	0.24886099582509075	0.00000000000000000	0.07434906637611552	1.03542036888005540
Patient172	0.00000000000000000	0.00000000000000000	0.12674688601571002	0.22747365455592589	0.01750879736683166	0.01186577107260107	0.00000000000000000	0.41832036338588885	0.07063844718364670	0.12744608041939590	0.00000000000000000	0.20056069160403908	0.98579560038976211
Patient173	0.00000000000000000	0.00000000000000000	0.01228742790673691	0.29333150100252364	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.65417086789832690	0.04021020319241250	0.00000000000000000	0.00000000000000000	0.16127019317072505	1.01086274986393265
Patient179	0.00154660148858994	0.01775953318405591	0.00000000000000000	0.02750837942657336	0.78364619353436249	0.00124194770296338	0.00619960753639195	0.12880085619902615	0.02972854165027670	0.00356833927776020	0.00000000000000000	0.05458085757113795	1.08045898577830135
Patient17	0.07636945788222635	0.00000000000000000	0.00000000000000000	0.61934071974211924	0.00267032780039693	0.00000000000000000	0.00000000000000000	0.28981316056356049	0.01180633401169703	0.00000000000000000	0.00000000000000000	0.20030530375160288	1.02483225630929375
Patient181	0.00000000000000000	0.02863558205547502	0.00000000000000000	0.18686142688172022	0.06381347091084495	0.00131298530825158	0.00000000000000000	0.60318226283296172	0.02697886696439025	0.08921540504635628	0.00000000000000000	0.13849436313975538	1.01014780604138399
Patient183	0.00000000000000000	0.03663529870526477	0.12056429968938960	0.34805353732845862	0.13952773929208234	0.00000000000000000	0.00000000000000000	0.30008969781401879	0.00493090275414885	0.05019852441663699	0.00000000000000000	0.04090393494242590	1.04988698583278328
Patient184	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.27926191405560918	0.10085445407069164	0.00000000000000000	0.27990314844269659	0.30896888885554158	0.03101159457546114	0.00000000000000000	0.00000000000000000	0.12395857691775691	1.01435632989247848
Patient185	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24362723532344838	0.00000000000000000	0.00179243418340281	0.00000000000000000	0.59627336524898644	0.03217661190557332	0.12613035333858902	0.00000000000000000	0.10108574752794919	1.02671045942175998
Patient187	0.00140750534703230	0.00000000000000000	0.00000000000000000	0.29154003716652094	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.65646126976779984	0.05059118771864687	0.00000000000000000	0.00000000000000000	0.21547605189510696	0.99048263342873721
Patient188	0.00014142157450452	0.00000000000000000	0.00000000000000000	0.22575944160959105	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.66017401541880316	0.11392512139710118	0.00000000000000000	0.00000000000000000	0.05795925556169773	1.04480084772891835
Patient18	0.01134361011722770	0.00000000000000000	0.00000000000000000	0.15567730001676569	0.22957589376439977	0.00000000000000000	0.00000000000000000	0.58449295999316064	0.01891023610844622	0.00000000000000000	0.00000000000000000	0.05891803683512477	1.04032161275977120
Patient1	0.01782510417902285	0.00000000000000000	0.00000000000000000	0.30131333008447275	0.38817802256086698	0.00000000000000000	0.00000000000000000	0.21560868196539923	0.07707486121023824	0.00000000000000000	0.00000000000000000	0.01544750932071019	1.07718464528245272
Patient20	0.00000000000000000	0.00157111623463031	0.00000000000000000	0.60129488527094754	0.00346397106238588	0.00000000000000000	0.00000000000000000	0.34365348003241847	0.05001654739961789	0.00000000000000000	0.00000000000000000	0.18512326078570032	1.02851812467939219
Patient21	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.28412367021894852	0.23050853004783323	0.00000000000000000	0.00000000000000000	0.37494787513119238	0.11041992460202585	0.00000000000000000	0.00000000000000000	0.02479941893325888	1.05840772818264806
Patient22	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.11115370745093288	0.13708342040051821	0.00103317868740141	0.00000000000000000	0.55449881885218988	0.19532329400821846	0.00090758060073905	0.00000000000000000	0.03115893236801328	1.04340919719620628
Patient23	0.01449704198729065	0.00000000000000000	0.00000000000000000	0.13827461202932664	0.20675178969185951	0.00005463930917459	0.00000000000000000	0.55193792223649019	0.08848399474585850	0.00000000000000000	0.00000000000000000	0.08216289760089629	1.02904717097493692
Patient24	0.01238412426588418	0.00000000000000000	0.00000000000000000	0.05878898030580303	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.77643656782276194	0.15239032760555093	0.00000000000000000	0.00000000000000000	0.26747349165293205	0.96905430728145781
Patient25	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.33641791779160057	0.00000000000000000	0.00151286905625139	0.00000000000000000	0.54798876035948474	0.10126403490168334	0.01281641789097999	0.00000000000000000	0.09751830179046046	1.03428529325780771
