Samples	CBSX__LM22__B_cells_naive	CBSX__LM22__B_cells_memory	CBSX__LM22__Plasma_cells	CBSX__LM22__T_cells_CD8	CBSX__LM22__T_cells_CD4_naive	CBSX__LM22__T_cells_CD4_memory_resting	CBSX__LM22__T_cells_CD4_memory_activated	CBSX__LM22__T_cells_follicular_helper	CBSX__LM22__T_cells_regulatory_(Tregs)	CBSX__LM22__T_cells_gamma_delta	CBSX__LM22__NK_cells_resting	CBSX__LM22__NK_cells_activated	CBSX__LM22__Monocytes	CBSX__LM22__Macrophages_M0	CBSX__LM22__Macrophages_M1	CBSX__LM22__Macrophages_M2	CBSX__LM22__Dendritic_cells_resting	CBSX__LM22__Dendritic_cells_activated	CBSX__LM22__Mast_cells_resting	CBSX__LM22__Mast_cells_activated	CBSX__LM22__Eosinophils	CBSX__LM22__Neutrophils
IMMU-BC2-0118-FIXT-01	0.03321185427973116	0	0.00230109209031635	0.22187204251986037	0	0.1944212954921024	0	0.00151700976324639	0.15597097624584572	0.07808286735870831	0	0	0.07577867055880684	0.11597710215471144	0	0	0	0	0	0.02174352215987296	0.09912356737679788	0
IMMU-BC2-0118-FIXT-02	0	0	0.00400171966517787	0.0116644631980556	0	0.4082180796096744	0	0	0.08433086798833354	0	0.02436080645466383	0	0.04508856537245782	0.25131462330810783	0	0.1033151114621229	0	0	0	0.0401639636844416	0.02203843754282976	0.00550336171413471
IMMU-BC2-0132-FIXT-01	0.01621614236189784	0	0	0.2560117220576899	0	0.19216964286909607	0	0	0.27270915951263613	0	0.03422309508677659	0	0.02419999592545157	0.171089719082219	0.03288424479706689	4.9627830716593e-4	0	0	0	0	0	0
IMMU-BC2-0140-FIXT-01	0	0.141331423981494	0	0.18554575448852567	0	0.32491813390367347	0	0	0.17368992431178903	0	0.01379088184847976	0.00725014864348793	0.04340672706346006	0.02916568403677202	0	0.02261045977215196	0	0	0	0.00401984582758042	0.03731847522368333	0.01695254089890215
IMMU-BC2-0140-FIXT-03	0.03778680269486914	0	0	0.01534462213555485	0	0.43910207510434585	0.05540685170631458	0	0.05013449672573127	0	0.09252056257131544	0	0.05341898563752934	0	0	0.16509743335323118	0	0.08267736583771887	0	1.3286490237179e-4	0.00837793933101764	0
IMMU-BC2-0145-FIXT-01	0.06930486878429884	0	0.06095723013582546	0.05151595642499805	0	0.2777519920400453	0	0	0.1672369139354441	0	0.04572937451704095	0	0.02424124003891493	0.20401147082037857	0.0110310035578965	0	0	0.0240610779622079	0	0.03830377747753429	0.02585509430541514	0
IMMU-BC2-0151-FIXT-01	0	0.12774708416059594	0	0.15885171105211263	0	0.10476091053511426	0	0	0.34516452141243353	0	0.00894502313771261	0	0.00927929990581273	0.1138361723079009	0	0	0	0.00299563709567857	0.12836844608650633	0	0	5.119430613261e-5
IMMU-BC2-0159-FIXT-02	0.02928077703315366	0.10977643052142526	0	0.0240269722727805	0.1833983328181024	0	0.3640446217692578	0	0.0501307768308239	0	0	0.00497862609443916	0.01707626711517337	0.07638879633231468	0	0.01977352537551998	0	0	0.0446063827625992	0	0.07651849107441026	0
IMMU-BC2-0163-FIXT-01	0	0.00557586320513802	0.00154046647745741	0	0	0.47364625535682103	0	0	0.24521915811987088	0	0.07176956816002704	0	0.01258815079738579	0.04090258380340668	0	0.01625061360275062	0	0	0	0.12136783677050514	0.01113950370663754	0
IMMU-BC2-0166-FIXT-01	0	0.00966795721225044	0	0.08183260201414218	0	0.3695844539050354	0	0	0.23014449436558804	0	0	0.11446677734936324	0.04173136931991318	0.06006940066130188	0	0.03774951829159027	0	0	0	0.004116231089668	0.05063719579114737	0
IMMU-BC2-0167-FIXT-01	0	0.00625557758895252	6.3394631318237e-4	0.06476259545335938	0	0.301449449583972	0	0	0.2341780738277431	0	0.02918987898618852	0	0.01946139528904794	0.2476613928258216	0	0	0	6.282955444472e-5	0	0.05431604355486271	0.042028817022425	0
IMMU-BC2-0172-FIXT-01	0	0.10033712567444408	0	0	0	0.4623417877698284	0	0	0.18793499721747464	0	0.02365333161445152	0	0.00999625740595403	0.08012807390295715	0.00536953732713642	0.06023174359220686	0.00215911338953893	0	0	0.02480218224077419	0.04304584986523367	0
IMMU-BC2-0197-FIXT-02	0	0.01179454794055608	9.0960503374402e-4	0.13254649548828387	0	0.5003080058786517	0	0	0.00228553130115656	0	0.01499364621543204	0.02951088739238147	0.00756239288820917	0.132346373034447	0	0	0	0.01049088790251158	0.12882291185105857	0	0.02302640303554604	0.00540231203802177
IMMU-BC2-0202-FIXT-01	0	0.10433286966468472	0	0	0	0.43326420579508984	0	0	0.1613489055398778	0	0.04849850349254083	0	0.02393887946341256	0.06869602248682062	0.00429660718697439	0.01353643219314284	0	0	0	0.10524229429630708	0.03684527988114945	0
IMMU-BC2-0210-FIXT-01	0	0.0453684107059786	0.10251719778916236	0	0	0.4165017874599204	0	0	0.1480301861854841	0	9.3913150491324e-4	0.00317310179888395	0.05046454672251335	0.12027803804671428	0.02553054271970047	0.00989370423528047	0	0	0	0.03711441841907461	0.04018893441237413	0
IMMU-BC2-0211-FIXT-01	0	0.10097724109715098	0	0	0	0.5038434641638996	0	0	0.15858643609465137	0	0.06197982546811549	0	0.02020054509615972	0.03833368595272257	0.00719506711341086	0.06424727232252564	0.00298448861772129	1.6218765563514e-4	0	0	0.04148978641800732	0
IMMU-BC2-0215-FIXT-01	0.00410856708535982	0.04157729414779224	0.0193382791229506	0.02228625887743173	0	0.4335415372017401	0.00163290321444502	0	0.21902547853200727	0	0.03635408833031281	0.00252526834754885	0.02270268149952757	0.13207345549204208	0.01409507436492741	0.04172495991727909	0	0	0	0.0077830345842473	0.00123111928238803	0
IMMU-BC2-0217-FIXT-02	0.01259955038095013	0	0.00269650854100581	0.10983341547030856	0	0.45160898116339504	0	0	0.0397751615641514	0	0.04826105511325108	0	0.02577710096749252	0.23199270286643545	0.01065442412295296	0.02458873401044192	0	0	0	0.04221236579961515	0	0
IMMU-BC2-0218-FIXT-01	0.10250918706061753	0	0.01931136577669531	0.12645252010092614	0	0.1492510039516404	0	0	0.17938477403294925	0	0	0.06043003738663315	0.00495885020202489	0.29891376491068294	0	0	0	0.00447461125530997	0.05431388532252031	0	0	0
IMMU-BC2-0218-FIXT-02	0	0.00644350833673873	0	0.05964216308778859	0	0.3427056835305187	0	0	0.1781276539948299	0	0	0	0	0.3475532067253414	0	0.00395756804556804	0	0	0	0.06100702319328368	5.6319308593087e-4	0
IMMU-BC2-0223-FIXT-01	0	0	0.01182657226481964	0.00135042326844809	0	0.41322504156239254	0	0	0.22142375291398247	0	0.02922975431490967	0	0.04166224738762675	0.09595435003948125	0.02522791557276185	0.08636908339637119	0.01666103452337755	0	0	0.02768579619371579	0.02938402856211318	0
IMMU-BC2-0223-FIXT-02	0.00530583650262195	0	0.01243731488383398	0.12779490897481394	0	0.3835652913850105	0	0.03664122022466818	0.10458041418136306	0	0.01064329615451798	0.01069009852513664	0.02213980280206457	0.18004181889324292	0.0012428015580604	0.04680086261461735	0	0	0	0.05507283358951596	0	0.00304349971053266
IMMU-BC2-0225-FIXT-01	0	0	0	0.11333263043662664	0	0.40124049323614747	0	0	0.14883473462058855	0	0.03388617952076262	0.01231025387014913	0.02672584018860378	0.01734838587617835	0.12398154266175188	0.10185280082995787	0	0	0.00898542402440033	0	0.00989738917174667	0.00160432556308674
IMMU-BC2-0228-FIXT-01	0	0.15690685348957842	0	0	0	0.25514012946676246	0	0.00985263287649034	0.307419739876777	0	0	0.0166546103763949	0.03606801428198292	0.1340528552960513	0.00151662816930605	0	0	0	0.06653993124694611	0	0.01584860491971057	0
IMMU-BC2-0229-FIXT-01	0	0.17281856816856891	0	0	0	0.4329920199984501	0	0.05813041584177785	0.03392219775279269	0.00709798904082222	0.04576766644079309	0	0.00980663302722053	0.14079428871472813	0.01196604448244867	0.02123423570992439	0.00432344325104779	0	0.03803060838618873	0	0.023115889185237	0
IMMU-BC2-0232-FIXT-01	0	0.07171079551794765	0	0.07267814524477165	0	0.38083004496641987	0	0	0.206921260701986	0	0	0.03049701394273954	0.05311934476050084	0.11606478718220072	0.00989576277580016	0.01777644202073974	0	0	0	0	0.03318475599994499	0.00732164688694887
IMMU-BC2-0245-FIXT-01	0	0.07979358570751421	0.00283232050468012	0	0	0.5964079278511146	0	0.01708009129936465	0.0525709678095577	0	0.08392443283042916	0	0.02722806454179046	0.06626907247646172	0	0	0	0.00648648044688755	0	0.06315610980036701	0.00425094673183289	0
IMMU-BC2-0252-FIXT-01	0	0.10956517584233456	0	0.21823234211186449	0	0.12263753753576956	0	0	0.3149252961357077	0	0	0.02955415998210138	0.05546271237079121	0.0553076516406691	0	0.02162489114995727	0	0.0089510246312922	0	0.05476803557501812	0.00897117302449459	0
IMMU-BC2-0254-FIXT-01	0	0.00308669002899212	0.00372202148802464	0.1255703534331669	0	0.36633874310365416	0	0	0.2354259862921536	0	0.0434635267904505	0	0.01303975196443458	0.08801591159681471	0.03536490587391317	0.01093023948155311	0.04025533201541481	0	0	0.03478653793142795	0	0
IMMU-BC2-0260-FIXT-01	0.06640252132317619	0	0	0.19784296624551703	0	0.4354555545513048	0	0	0.10036335508877586	0	0	0.03554890568766299	0.03917367378374092	0.03077490525256414	0.01175160204663585	0	0	0	0	0	0.0814623938032421	0.00122412221738011
IMMU-BC2-0261-FIXT-01	0	0.12739019844884264	0	0.01465357162145076	0	0.42463718169848	0	0	0.1669139350410576	0	0	0.04106586844087165	0.03599941963076695	0.08290402661968582	0.01170976726157247	0.03729499366017616	0	0	0	0.05148223947919998	0.00594879809789582	0
IMMU-BC2-0265-FIXT-01	0.01531518813768176	0.01221756044108536	0	0	0	0.3242767599150002	0.3159382789531554	0	0	0	0.10656555771747256	0	0.04188616699796291	0.06658400695095222	0	0.052072871672869	0.01562639622614416	0	0	0.0149696407537565	0.03454757223391997	0
IMMU-BC2-0277-FIXT-01	0.0177102222816025	0.02665853899099024	0.02655708494939227	0.15841148953292816	0	0.24057710496913787	0	0	0.2058174158930312	0	0.03908491789984315	0.01708047570402751	0.0525454362699519	0.01054390141623373	0.02908696961961061	0.0938922714651793	0.02751909774596436	0	0	0	0.0545150732621073	0
IMMU-BC2-0279-FIXT-01	0	0.11053022675612588	0	0.14752799084877816	0	0.3303984268695288	0	0.0364685269225087	0.16948288317813193	0	0.05559093222097117	0	0.04013139395583014	0.02779769535640911	0.01222372589067	0.01829303711258766	0	0	0	0.0020729948292276	0.04948216605923095	0
IMMU-BC2-0282-FIXT-01	0	0.00791332374764105	0	0.09468516058272602	0	0.23748632402701375	0	0	0.3411780130431279	0	0	0.02675787398437675	0.03205696839435979	0.1828026969574636	0.01080570824462993	0.01980614345506496	0	0	0	0.04650778756359618	0	0
IMMU-BC2-0283-FIXT-01	0	0.12660670301194724	0	0	0	0.40606135026164536	0	0	0.1926689147025646	0	0	0.0845745200336909	0.03824598439021418	0.0397539217303556	0	0.00713212755781515	0.00914210268763696	0	0	0.07591679015274101	0.01149568911545816	0.00840189635593082
IMMU-BC2-0283-FIXT-02	0	0	0	0.12222075953859415	0	0.34868072841444925	0	0	0.10058241720697318	0	0.04843647283632398	0	0.11699818407318364	0.10454184434098827	0.01102381476451069	0.06870939722685013	0	0	0	0.01509709423740269	0.03769913323247456	0.02601015412824959
IMMU-BC2-0285-FIXT-01	0.01117325551743267	0	0.00369746612297604	0.07112393891724171	0	0.45498607154300824	0	0	0.2816849352131736	0	0.01949414067630318	0.00472836513199783	0.03853238547166248	0.03810697467150501	0	0	0.00954324841652511	3.2624391118267e-4	0	0.06320990510320317	0.0029650102233336	4.2805908045462e-4
IMMU-BC2-0288-FIXT-01	0	0.20398637597866404	0	0	0	0.46383158558677245	0	0.01135885082625069	0.09086718534120754	0.04033048619133448	0.03890009485779407	0	0	0.05079068764450044	0.00126124371347113	0	0.01259103705683038	0	0	0.08112527383066723	0.00495717897250766	0
IMMU-BC2-0290-FIXT-01	0	0.21795233412713325	0	0	0	0.5673474737620199	0	0	0.06338503345381995	0	0	0	0.02972101574108207	0.07353530700861709	0	0	0.002295413900511	0	0	0.03750307521118314	0.00124777683495844	0.00701256996067521
IMMU-BC2-0298-FIXT-01	0	0.01113148703846858	0	0.05496817515192063	0	0.06858548670201435	0	0	0.405124454585039	0	0	0	0.02582241441791028	0.3886021738385379	0.00153949211552733	0	0	0	0	0.0442263161505818	0	0
IMMU-BC2-0309-FIXT-01	0	0.21058729541633003	0.02186964348847032	0.09334685307159134	0	0.3377773913402691	0	0.01128988786178821	0.09696720078091028	0	0	0.02528523165522492	0.04204843814790727	0.0635021835098325	0	0	0.01220471424749454	0	0.07730285386965993	0	0.00781830661052153	0
IMMU-BC2-0312-FIXT-01	0	0.23468622991074525	0	0.0633473544066875	0	0.37221911517155915	0	0	0.13365524020297595	0	0	0.02912007389580844	0.02232491695817496	0.07011904131539118	0	0	0	0	0	0.0679881233305662	0.00653990480809131	0
IMMU-BC2-0316-FIXT-01	0	0.11065386587381856	0	0	0	0.5009262238019084	0	0.03333807544232744	0.1420077453190412	0	0.01469049679420607	0	0.01813519810812702	0.0327999471401724	0.01825886186335844	0	0.00677384123477094	0	0	0.11336333806301754	0.00905240635925204	0
IMMU-BC2-0333-FIXT-01	0	0.09606847869812	0	0.23008570121596708	0	0.13835547076960888	0	0	0.3097731909506183	0	0	0.01236188271205743	0.01604274821742528	0.07729422328722521	0	0.0119348878678457	0	0	0	0.02562549099045529	0.08102884281122294	0.00142908247945373
IMMU-BC2-0339-FIXT-01	0.0151022362064411	0.00387019173227221	0	0.1511506828782943	0	0.1999393812322112	0	0	0.35578655732584574	0	0	0	0.03067731583998898	0.10296800942521613	0.01724488907886407	0.00784281815515311	0	0	0	0.02099334174125209	0.09442457638446106	0
IMMU-BC2-0355-FIXT-01	0	0.2081383185215946	0	0	0	0.572451044580151	0	0	0.11240258319744896	0	0	0.00507120600879972	0.03360809060022946	0.05113629380392895	0.00285032162409953	0	0	0	0	0.002911038460524	0.01143110320322382	0
IMMU-BC2-0362-FIXT-01	0	0.03272104114077493	0.09663771821496864	0.3529607293025983	0	0.12144785714573024	0	0	0.19482708546537847	0	0	0.09655029450716655	0.02440872994048845	0.02418140042175285	0.00568563924362027	0	0	0	0.01080829055816162	0	0.03977121405935966	0
IMMU-BC2-0371-FIXT-01	0	0.03241228198716652	0	0.00326531370115422	0	0.5711525333665823	0.02429146959287293	0	0.06112223564991146	0	0.0445323924323945	0.00364393549074613	0.04830592572242119	0.1779891579195728	0	0.00186957835978552	0	0	0	0.01534206159018265	0.01607311418720974	0
IMMU-BC2-0372-FIXT-01	0	0.04241092031132529	7.619235389652e-4	0	0	0.49254947419865264	0	0.07087325094643976	0.10221558407597228	0	0.0888288201170411	0	0.00136319206513906	0.12030810630660375	0	0.01717318776720263	0	0	0	0.05310957971797481	0.01040596095468351	0
IMMU-BC2-0374-FIXT-01	0.01393019742876982	0	0	0.2412172565377383	0	0.300187410005316	0	0.00843293148621291	0.170045446096925	0	0.05125528187036751	0	0.04552696597275781	0.01484077388467014	0	0.03348266763394968	0	0	0	0.04547973176644862	0.05420894044916798	0.02139239686767608
IMMU-BC2-0374-FIXT-02	0	0.03160599551270889	0	0	0	0.5673637972127243	0	0	0.20761824260510053	0	0	0	0.08959774317960577	0.03791550272455175	0	0.00851555135407032	0	0.01607765870521316	0	0	0.04130550870602531	0
IMMU-BC2-0377-FIXT-01	0.03373845580232404	0	0.04744789180672655	0.1592736074088046	0	0.35238553458823113	0	0	0.06655751764576116	0	0.08950940386001963	0	0.08445397523177454	0.06190693676848813	0	0	0.087920209156959	0	0	0.01680646773091136	0	0
