Samples	CBSX__NSCLC-scRNAseq__T_cells_CD8	CBSX__NSCLC-scRNAseq__Monocytes	CBSX__NSCLC-scRNAseq__T_cells_CD4	CBSX__NSCLC-scRNAseq__NKT_cells	CBSX__NSCLC-scRNAseq__B_cells	CBSX__NSCLC-scRNAseq__NK_cells
LUNG-NSCLC2-0553	0	0.00826202922094047	0	0.1133790830055247	0.8783588877735349	0
LUNG-NSCLC2-0560	0.19137061066752525	0.01965094755158994	0	0	0.7889784417808848	0
LUNG-NSCLC2-0561	0	0.1953824900496398	0	0.3742241649522396	0.43039334499812065	0
LUNG-NSCLC2-0563	0.04393732601230159	0	0.2375935756616968	0.01501735227302147	0.7034517460529802	0
LUNG-NSCLC2-0565	0.09187633179282668	0	0.17864940347763017	0	0.7294742647295432	0
LUNG-NSCLC2-0566	0.11353770278606327	0.07581248372940232	0.02310850822709512	0	0.7875413052574394	0
LUNG-NSCLC2-0567	0	0.06663487559092722	0	0.26566941644624836	0.6676957079628245	0
LUNG-NSCLC2-0568	0.0943673418726024	0.02432779326449881	0	0	0.8813048648628988	0
LUNG-NSCLC2-0569	0.10886305463445216	0.01659743256812753	0	0	0.8745395127974204	0
LUNG-NSCLC2-0571	0.11847923249859678	0.01954022014187816	0	0	0.8619805473595251	0
LUNG-NSCLC2-0572	0.15398184401106013	0.00955035941138317	0	0	0.8364677965775568	0
LUNG-NSCLC2-0576	0.148782184532144	0.01121004740357769	0	0	0.8400077680642783	0
LUNG-NSCLC2-0580	0.08295822382625599	0	0	0	0.917041776173744	0
LUNG-NSCLC2-0583	0	0	0	0.19928158935258192	0.8007184106474179	0
LUNG-NSCLC2-0584	0.12908541988615474	0	0	0	0.8709145801138455	0
LUNG-NSCLC2-0585	0.05702363847777173	0.0038091094170592	0	0	0.9391672521051692	0
LUNG-NSCLC2-0587	0.1221112077597804	0.01671452210331942	0.07854696483564019	0	0.7826273053012601	0
LUNG-NSCLC2-0588	0.113944366548018	0.0180488096701679	0	0	0.868006823781814	0
LUNG-NSCLC2-0590	0.16640626730432936	0.01747865240714816	0	0	0.8161150802885225	0
LUNG-NSCLC2-0592	0.01635199500317584	0	0	0	0.9836480049968241	0
LUNG-NSCLC2-0593	0.09121690228666436	0	0	0	0.9087830977133357	0
LUNG-NSCLC2-0595	0.18007645373987435	0	0	0	0.8199235462601256	0
LUNG-NSCLC2-0596	0.10245188881143956	0.0150572563758292	0	0	0.8824908548127312	0
LUNG-NSCLC2-0599	0.09024481835611424	0.0134375252666411	0	0	0.8963176563772446	0
LUNG-NSCLC2-0602	0.02046860110824745	0	0.13067315494396267	0	0.8268485160478664	0.02200972789992356
LUNG-NSCLC2-0603	0.08245503575854317	0	0	0	0.9175449642414568	0
LUNG-NSCLC2-0607	0	0.02974203317773791	0	0.21461381339669908	0.7556441534255632	0
LUNG-NSCLC2-0608	0.09676534765205898	0.00213611497840836	0	0	0.9010985373695326	0
LUNG-NSCLC2-0610	0.17458102203635376	0.00486060760156595	0	0	0.8205583703620803	0
LUNG-NSCLC2-0611	0.11295536334094725	0	0	0	0.8870446366590526	0
LUNG-NSCLC2-0612	0	0.04793922659820171	0	0.2517492128543947	0.7003115605474036	0
LUNG-NSCLC2-0613	0	0.24097229364205497	0	0.43952639820628514	0.31950130815165984	0
LUNG-NSCLC2-0614	0.07971234142297831	0.0356999309314296	0	0	0.884587727645592	0
LUNG-NSCLC2-0617	0.09826646489706324	0.02602652827800138	0	0	0.8757070068249354	0
LUNG-NSCLC2-0622	0.06031880865020948	0	0	0	0.9396811913497906	0
LUNG-NSCLC2-0623	0.13864589528605892	0	0.00970020002614612	0	0.851653904687795	0
LUNG-NSCLC2-0630	0.10109999997242024	0.05131393041912812	0	0	0.8475860696084517	0
LUNG-NSCLC2-0631	0.12497565096970212	0.03027855378689498	0	0	0.8447457952434029	0
LUNG-NSCLC2-0632	0.15667817773028875	0	3.6021201228434e-4	0	0.8429616102574268	0
LUNG-NSCLC2-0633	0.0345979993082759	0.00234254283884763	0	0	0.9630594578528765	0
LUNG-NSCLC2-0635	0	0.03920719707284612	0	0.30555849654285505	0.6552343063842989	0
LUNG-NSCLC2-0636	0.07604188092418676	0.01790554019616323	0	0.01444889588940731	0.8916036829902427	0
LUNG-NSCLC2-0641	0.08918448950517384	0.01362365320756178	0	0	0.8971918572872645	0
LUNG-NSCLC2-0648	0.07561057598588374	0	0	0	0.9243894240141163	0
LUNG-NSCLC2-0652	0.12001898236270105	0.00270582955784211	0	0	0.8772751880794569	0
LUNG-NSCLC2-0657	0.09048052566512868	0	0	0	0.9095194743348712	0
LUNG-NSCLC2-0660	0.12106600475306556	0	0	0	0.8789339952469346	0
LUNG-NSCLC2-0665	0.08750724129977162	0.00358497698273007	0	0	0.9089077817174982	0
LUNG-NSCLC2-0672	0	0.0298719891014685	0.0855238975560751	0.03860892752452095	0.8459951858179355	0
LUNG-NSCLC2-0677	0.2204628735548646	0.07423428736959622	0.01913928057098663	0.06975056283833864	0.6164129956662139	0
LUNG-NSCLC2-0678	0.05530519363357056	0.05058385389107538	0	0	0.8941109524753541	0
LUNG-NSCLC2-0679	0.09648604682696968	0.03630558481459873	0	0	0.8672083683584315	0
LUNG-NSCLC2-0680	0.13235524345133837	0.00669061691916149	0	0	0.8609541396295	0
LUNG-NSCLC2-0683	0.08802747620192733	0.00478025641018134	0	0	0.9071922673878912	0
LUNG-NSCLC2-0685	0.08221994136417342	0.00719216399586832	0	0	0.9105878946399583	0
LUNG-NSCLC2-0687	0.12071917719408246	0	0	0	0.8792808228059175	0
LUNG-NSCLC2-0689	0.06878115379216285	0	0	0	0.9312188462078371	0
LUNG-NSCLC2-0695	0.11843859171857785	0.01453745784211558	0	0	0.8670239504393066	0
LUNG-NSCLC2-0696	0.07454864197493617	0.00679184147741853	0	0	0.9186595165476453	0
LUNG-NSCLC2-0698	0.10707261108823043	0	0.03852133830229247	0	0.8444477794912358	0.00995827111824123
