Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
R3388_YZ_1	0.03269734349060346	0.00000000000000000	0.06695413975904506	0.00000000000000000	0.00000000000000000	0.47334706313706743	0.00000000000000000	0.02886925818575296	0.00000000000000000	0.00000000000000000	0.03127658127797417	0.02471211081605306	0.08303367490287235	0.15550069551133930	0.00137226339399956	0.03442747051399887	0.00000000000000000	0.02974111355313856	0.03272781669459073	0.00000000000000000	0.00534046876356457	0.00000000000000000	0.00000000000000000	0.10940320299194227	1.05234803573055347
R3388_YZ_2	0.05229778044571247	0.00000000000000000	0.04426752645815647	0.05721757782173900	0.00973406085169174	0.26169753846977056	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06189186553565312	0.00000000000000000	0.04015398258669684	0.09792213464603594	0.08535166343410430	0.24979487196889336	0.00000000000000000	0.00252740946581299	0.03714358831573321	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.34232305985953448	0.94346603898687009
R3388_YZ_3	0.02520925463195115	0.00000000000000000	0.01686114140168873	0.00000000000000000	0.00000000000000000	0.31820482274027562	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02951151844859660	0.01099820516540840	0.04812125365049932	0.20626793664195775	0.00000000000000000	0.23802183899563356	0.00000000000000000	0.01698303571495994	0.08982099260902882	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08587429711538666	1.06395916052397155
R3388_YZ_4	0.04886976499107366	0.00000000000000000	0.13068550914679691	0.05291292141650789	0.00000000000000000	0.36203874258532626	0.00000000000000000	0.01260142125914179	0.00000000000000000	0.00000000000000000	0.08890234591831102	0.01336395938642697	0.04935541034599845	0.00000000000000000	0.00850593821501115	0.20194485740750759	0.00000000000000000	0.02615496944401477	0.00000000000000000	0.00000000000000000	0.00466415988388344	0.00000000000000000	0.00000000000000000	0.14186247573137759	1.03306284369375634
R3388_YZ_5	0.05438891185759730	0.06230665031178517	0.06682188726599948	0.03787484934005388	0.00000000000000000	0.44769018038921810	0.00000000000000000	0.03195171874201504	0.00000000000000000	0.00000000000000000	0.10903803189452707	0.00000000000000000	0.05127118877670236	0.05970523887744452	0.01959185295979185	0.05054812046032711	0.00000000000000000	0.00315506026524132	0.00000000000000000	0.00565630885929695	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.28279278862511675	0.97916360001431191
R3388_YZ_6	0.00000000000000000	0.04579169030258241	0.28370684999275764	0.00000000000000000	0.00000000000000000	0.35140373690781623	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07919264040251768	0.00000000000000000	0.04206648784737774	0.04159417439733126	0.02924785351613933	0.08655692909653337	0.00000000000000000	0.03821732642326724	0.00222231111367720	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01484924344312247	1.08071348228820074
R3388_YZ_7	0.01276001610982776	0.00000000000000000	0.03297989136615740	0.03843529831538047	0.00000000000000000	0.40734651065565564	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09128186686654650	0.00000000000000000	0.03536325290174814	0.11256993991970607	0.01512066810091053	0.19674387286224088	0.00000000000000000	0.01238180621848770	0.02951483826474272	0.00860793751034843	0.00000000000000000	0.00689410090824769	0.00000000000000000	0.11038024188327411	1.05332193299238019
R3388_YZ_9	0.06028005794612032	0.00710417323274646	0.07289565206550433	0.00000000000000000	0.00000000000000000	0.39195178600458958	0.00000000000000000	0.04202165011138721	0.00000000000000000	0.00000000000000000	0.05693846381269183	0.00000000000000000	0.03748137524929372	0.08149067469958696	0.09674002530885757	0.15309614156922199	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21465259738051559	1.00292795836768311
R3388_YZ_10	0.00000000000000000	0.12116895051474599	0.06183072062071256	0.03549366111154911	0.00983741195855858	0.32640514235585671	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03674822329156285	0.01025321831686068	0.06463980023189410	0.01082245286950893	0.01555442577913975	0.18252310990458742	0.00000000000000000	0.01619885379931838	0.10852402924570498	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15529577539121456	1.01629428139721867
R3388_YZ_11	0.00000000000000000	0.00815702297361114	0.24294758449887835	0.00000000000000000	0.08515116320720907	0.21772569831203231	0.00000000000000000	0.00326951696872290	0.00000000000000000	0.00000000000000000	0.05780550019514956	0.03775913709274847	0.11314743239001536	0.06048561757310345	0.00945349219181686	0.13179535113866392	0.00000000000000000	0.00411941884365055	0.02228458837282611	0.00000000000000000	0.00589847624157180	0.00000000000000000	0.00000000000000000	0.07847786193884615	1.04755056412317948
