Mixture	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells	P-value	Correlation	RMSE
Hugo_Cell_2016-Pt1	0.60324325280991475	0.01538635928446133	0.29371385347624335	0.00408244705042576	0.00000000000000000	0.06944926945765452	0.01398968898269335	0.00013512893860689	0.00000000000000000	0.60154278054641797	0.81175231057948682
Hugo_Cell_2016-Pt2	0.77434923859092886	0.01267651268571039	0.04256380815100556	0.00000000000000000	0.00153338279743957	0.13874808911272271	0.01421739698968601	0.01591157167250688	0.00000000000000000	0.28331074427427277	0.99327471153446267
Hugo_Cell_2016-Pt4	0.87835555637521368	0.00000000000000000	0.02958889023164936	0.00000000000000000	0.00178830242322458	0.06875274472349399	0.02151450624641841	0.00000000000000000	0.00000000000000000	0.76487851925617867	0.68672044074066974
Hugo_Cell_2016-Pt5	0.96597378009598744	0.00051917439603877	0.01524807529072837	0.00000000000000000	0.00267032804780444	0.01435520418689327	0.00000000000000000	0.00123343798254777	0.00000000000000000	0.64014543378281152	0.77350387618146044
Hugo_Cell_2016-Pt6	0.81554234620728605	0.00001133583332909	0.09403582438702959	0.00000000000000000	0.00139451800315533	0.07258761307845556	0.01642836249074444	0.00000000000000000	0.00000000000000000	0.67052793844637959	0.76009051574743536
Hugo_Cell_2016-Pt7	0.83502544170430115	0.00013560926887399	0.09314838811918008	0.00000000000000000	0.00282947938145079	0.04392204699794380	0.02493903452825010	0.00000000000000000	0.00000000000000000	0.44611160634158026	0.89689037755434953
Hugo_Cell_2016-Pt8	0.61342913441557068	0.00841398786870449	0.22120819877429038	0.00000000000000000	0.00181201052049036	0.10208936750338521	0.05304730091755881	0.00000000000000000	0.00000000000000000	0.42537629941524657	0.90563446552263283
Hugo_Cell_2016-Pt9	0.71903059410853376	0.01212008849419532	0.16893973527156944	0.01452074290576497	0.00000000000000000	0.07361604020160678	0.00941938969736687	0.00235340932096286	0.00000000000000000	0.55798265948679282	0.83402016051525585
Hugo_Cell_2016-Pt10	0.53891326992525190	0.02847924028060373	0.39105806592506526	0.00000000000000000	0.00000000000000000	0.01841730211882340	0.02313212175025572	0.00000000000000000	0.00000000000000000	0.48289422969392748	0.87606010955359093
Hugo_Cell_2016-Pt12	0.69394082834005233	0.00085974880056040	0.25352454327068302	0.00000000000000000	0.00000000000000000	0.03896118083674506	0.01271369875195923	0.00000000000000000	0.00000000000000000	0.49529866378991783	0.86909517844399875
Hugo_Cell_2016-Pt13	0.42688388137792960	0.01637197583763251	0.34516569546992887	0.01322313000166676	0.00000000000000000	0.16591555031602911	0.01846478548386481	0.01397498151294810	0.00000000000000000	0.58319692770039322	0.81489378805308021
Hugo_Cell_2016-Pt14	0.01879220942950288	0.05569709468338237	0.73459619844370427	0.00000000000000000	0.00323635660502185	0.16336142554272939	0.02431671529565924	0.00000000000000000	0.00000000000000000	0.59089620893474071	0.80882115002982213
Hugo_Cell_2016-Pt15	0.85908143292063599	0.00185611028679871	0.03174051481015121	0.00000000000000000	0.00000000000000000	0.08594451720685965	0.02137742477555455	0.00000000000000000	0.00000000000000000	0.76433500514356545	0.68680679842152192
Hugo_Cell_2016-Pt19	0.79925800612113851	0.00212157997180403	0.08234109320126651	0.00539068580072200	0.00000000000000000	0.10124520402887552	0.00000000000000000	0.00964343087619343	0.00000000000000000	0.75517092844827316	0.69683670342374959
Hugo_Cell_2016-Pt20	0.60715124670648146	0.00724627640447556	0.02249738312920585	0.13049947338636972	0.00000000000000000	0.22786441670498808	0.00000000000000000	0.00474120366847939	0.00000000000000000	0.73460808299435076	0.69084695018040165
Hugo_Cell_2016-Pt22	0.37400108059056208	0.02520855078896369	0.35447298370190788	0.00743882237487069	0.00000000000000000	0.17864003031298442	0.06023853223071131	0.00000000000000000	0.00000000000000000	0.58379835754998788	0.81442914719279691
Hugo_Cell_2016-Pt23	0.55301580268186123	0.00432473139455429	0.16895887912314295	0.02375106795984096	0.00000000000000000	0.23036929954371385	0.01958021929688677	0.00000000000000000	0.00000000000000000	0.53261927764234629	0.84833692938300953
Hugo_Cell_2016-Pt25	0.75153595511160776	0.00234655799690540	0.04995098566802696	0.03503202425014584	0.00000000000000000	0.15076683337900107	0.01036764359431305	0.00000000000000000	0.00000000000000000	0.51342150698684752	0.85857734330570845
Hugo_Cell_2016-Pt27A	0.66055617454191995	0.00089986891881526	0.12116663201504754	0.01631238779652968	0.00000000000000000	0.16593272633369271	0.00000000000000000	0.03513221039399490	0.00000000000000000	0.85074797058061247	0.60688144576681602
Hugo_Cell_2016-Pt27B	0.83254700601982623	0.00000000000000000	0.06024851452369048	0.00000000000000000	0.00000000000000000	0.09850785036499607	0.00393815321986242	0.00475847587162498	0.00000000000000000	0.81014357409033944	0.65047426644244177
Hugo_Cell_2016-Pt28	0.14599697856146140	0.16679021010477058	0.46615570516285271	0.00000000000000000	0.00000000000000000	0.12600789648443805	0.09504920968647727	0.00000000000000000	0.00000000000000000	0.02035040932099675	1.10685400144669632
Hugo_Cell_2016-Pt29	0.68541047182057169	0.01810564571414730	0.08134679316108803	0.00847329762629159	0.00000000000000000	0.16801590377677447	0.03864788790112700	0.00000000000000000	0.00000000000000000	0.68431348969787220	0.74389878933099551
Hugo_Cell_2016-Pt31	0.60755972652152224	0.00126271192402804	0.27970866578615189	0.02077523479972909	0.00297963239424271	0.06831095000346248	0.00000000000000000	0.01940307857086366	0.00000000000000000	0.62963044813354152	0.79572582902218780
Hugo_Cell_2016-Pt32	0.08946395965800952	0.00882098535749879	0.78634941371059963	0.00000000000000000	0.00315648944135815	0.10660404692269798	0.00560510490983606	0.00000000000000000	0.00000000000000000	0.53616125041987384	0.84883266103807153
Hugo_Cell_2016-Pt35	0.88453243565162831	0.00023404265238789	0.04364634242875109	0.00646133122135893	0.00000000000000000	0.06478622428755343	0.00000000000000000	0.00033962375832040	0.00000000000000000	0.60481766232338596	0.80009243942657049
Hugo_Cell_2016-Pt37	0.88389935453371182	0.00024857712449315	0.01883380829666666	0.02447007152638533	0.00000000000000000	0.06039384632997279	0.00000000000000000	0.01215434218877022	0.00000000000000000	0.27063440921097970	0.99680697341866709
Hugo_Cell_2016-Pt38	0.13216537852680157	0.04292784252094973	0.04668196171538337	0.00827755073233472	0.01342314202746567	0.11537603386445776	0.07451754036001070	0.56663055025259645	0.00000000000000000	0.86042610904682293	0.51280198311919811
