Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
IMMU-BC3-0099	0.22028619796798163	0.07490498808312916	0.01483718882364306	0	0	0.0192488258807725	0.36971340453328577	0.1334396088728843	0.1675697858383035	0	0
IMMU-BC3-0101	0.2779937974887647	0.2967361945300334	0.02987416620199842	0	0	0.01017993247415894	0.22403881764625913	0.02371386502540223	0.13187353349915776	0	0.00558969313422543
IMMU-BC3-0109	0.23209452329865893	0.16543420687259516	0.01797042441218801	0	0	0.02019043389745242	0.3243949144178813	0.10236266701114816	0.12678302281134304	0.01076980727873308	0
IMMU-BC3-0111	0.27725343809740327	0.13161403217082104	0.03311670570038972	0	0	0.02205949617514132	0.3081125237978133	0.0316367474612953	0.19620705659713605	0	0
IMMU-BC3-0113	0.19538630828664205	0	0.00522454145384638	0	0	0.01005310772888975	0.42218666812809086	0.10776387851662948	0.25938549588590143	0	0
IMMU-BC3-0119	0.27497717715442077	0.14174068016184083	0.02456744481361895	0	0	0.00973091451214351	0.3342789289809336	0.02587770652293084	0.18882714785411156	0	0
IMMU-BC3-0124	0.25520526309432656	0.20065409482525903	0.0163078809790807	0	0	0.01570087941613267	0.325059395152858	0.04517484575369241	0.1418976407786507	0	0
IMMU-BC3-0126	0.254537702768618	0.26417889276805984	0.04949594199868108	0	0	0.01821387518594851	0.22307013030383743	0.02666864411133014	0.15457774412607406	0	0.00925706873745091
IMMU-BC3-0138	0.2792454634819601	0.1835511721708691	0.01532132206433344	0	0	0.01571867827826422	0.31165260003728285	0.02213265286154655	0.1723781111057437	0	0
IMMU-BC3-0139	0.2473910450707622	0.21923110680867083	0.00721546257882941	0	0	0.01185583857722434	0.27826478001574123	0.02857751291282575	0.2074642540359464	0	0
IMMU-BC3-0147	0.19735585195675984	0.1590390726480073	0.01245190894296874	0	0	0.01154926328736206	0.2987007800327633	0.09202407011016324	0.22887905302197556	0	0
IMMU-BC3-0152	0.17189644678891347	0.10193554153287555	0.00905748042245889	0	0	0.0179024068747893	0.41558972641311265	0.11143007617388868	0.17218832179396162	0	0
IMMU-BC3-0154	0.22506402676386583	0.24131656156185907	0.0179231855213108	0	0	0.01703039740692855	0.2583231766831079	0.10463658747648184	0.13570606458644605	0	0
IMMU-BC3-0154	0.4611873007142281	0	0.0208158060560464	0	0	0	0.3251405149881821	0	0.19285637824154345	0	0
IMMU-BC3-0155	0.23572669425600185	0.13922711243755811	0.0261257160864504	0	0	0.01619485321534041	0.32208772803821584	0.11428509244663042	0.14635280351980315	0	0
IMMU-BC3-0165	0.24214917038412928	0.16990596376744152	0.0292749910152273	0	0	0.03262624726624773	0.26459143217032743	0.11280985982754092	0.13987813265647178	0	0.00876420291261406
IMMU-BC3-0168	0.29893481307647035	0.2922482377460371	0.01919222557327604	0	0.0063306391723093	0.04192901808213709	0.2034211268308515	0.00439986693728098	0.13354407258163778	0	0
IMMU-BC3-0171	0.2653464869276002	0.29907875437544124	0.06034099920674938	0	0	0.01966628459067825	0.15441053302831506	0.03760343515658541	0.13611389159131188	0.00700487581639749	0.02043473930692107
IMMU-BC3-0177	0.21604811920677225	0	0	0.04208516255755209	0.0117842292639075	0	0.4382657427455381	0.05622419234593332	0.23559255388029676	0	0
IMMU-BC3-0181	0.1795045606419777	0	0.01062806283147084	0	0	0.00901691383414156	0.2723030174296876	0.38642239721028177	0.14212504805244067	0	0
IMMU-BC3-0187	0.17440051187138414	0.01717310131670766	0.00884619157099282	0	0	0.0093913461415929	0.23435437545714727	0.3597577719591855	0.19607670168298957	0	0
IMMU-BC3-0188	0.2094428165490428	0.07584100111667717	0.01259903718129059	0	0	0.00626659619005176	0.38056766382825485	0.08137302813840545	0.19818897334079055	0.02755871344852941	0.00816217020695741
IMMU-BC3-0189	0.36674930202699624	0.0182596046792237	0	0	0.01750632208298146	0	0.3122957625118443	0.00308364123184907	0.28210536746710524	0	0
IMMU-BC3-0190	0.2720047761979114	0	0	0.01112419730855356	0.00817262456078292	0	0.4547179984489261	0.03994645386970463	0.21403394961412148	0	0
IMMU-BC3-0198	0.23849566349769633	0.22802009552370184	0.01946702163674167	0	0	0.0100762698246556	0.26713929776777345	0.1162577525674532	0.11418837646775036	0	0.00635552271422759
IMMU-BC3-0199	0.2133211482814498	0.06063107590032574	0.01008105809398488	0	0	0.01822600296812601	0.35095989685484424	0.05961159173851582	0.2871692261627535	0	0
IMMU-BC3-0200	0.19497014567619897	0.18776243614671972	0.03243407348549617	0	0	0.01166445135304903	0.20109154504790416	0.24764935668800792	0.12300079418355912	0	0.00142719741906494
IMMU-BC3-0204	0.20489207365738216	0.09413941893924244	0.03364277719220588	0	0	0.04007518346605939	0.3830305467533556	0.15105315148637458	0.0882740416063155	0.00489280689906453	0
IMMU-BC3-0212	0.22675712358097916	0.18715337248160305	0.01268481371625341	0	0	0.00853496190101223	0.3271623340251316	0.05948077451246655	0.1782266197825539	0	0
IMMU-BC3-0220	0.3696226379451342	0.1088651823553294	0.03193175638326533	0	0	0.00536804201217948	0.2535246191142455	0	0.23068776218984607	0	0
