Samples	CBSX__CCLE-TIL10__Cancer.cells	CBSX__CCLE-TIL10__B.cells	CBSX__CCLE-TIL10__Macrophages.M1	CBSX__CCLE-TIL10__Macrophages.M2	CBSX__CCLE-TIL10__Monocytes	CBSX__CCLE-TIL10__Neutrophils	CBSX__CCLE-TIL10__NK.cells	CBSX__CCLE-TIL10__T.cells.CD4	CBSX__CCLE-TIL10__T.cells.CD8	CBSX__CCLE-TIL10__Tregs	CBSX__CCLE-TIL10__Dendritic.cells
LUNG-NSCLC2-0630	0.03543546466946446	0.00176451862985217	0.5889408434680089	0	0	0.1027461400892756	0.00515911759662572	0.17093819668947952	0	0	0.09501571885729354
LUNG-NSCLC2-0631	0.04376320171860868	0.01978360977680423	0.5066565721798255	0	0	0.0067971582264288	0.04390603465695958	0.09410168330681548	0	0.15456221252032556	0.1304295276142322
LUNG-NSCLC2-0632	0.17541445949082057	0	0.3754536488563616	0.09006920099137782	0	0	0.01386655407929951	0.04034362982543797	0.05959949546010117	0.07043386601079552	0.1748191452858058
LUNG-NSCLC2-0633	0	0.04783154621425666	0.3572562099449947	0.08023678307997907	0	0.00265237395995464	0.07211301140551375	0.13417739201164416	0.00171457309909649	0.15488706757134896	0.14913104271321154
LUNG-NSCLC2-0635	0.5626758099989457	0	0.22878083851221664	0	0	0	0	0.1288974419160323	0	0	0.07964590957280532
LUNG-NSCLC2-0636	0.10975466175151824	0	0.5072039128074973	0.15854153464319892	0	0.00339671767520058	0.01927722901044199	0.12743613781384608	0	0.02063506883137504	0.05375473746692173
LUNG-NSCLC2-0641	0	0	0.31033609797985273	0.15843530466329647	0	0	0.1015096580912383	0.2127002999680024	0.03302883094485753	0.08441718212886873	0.0995726262238838
LUNG-NSCLC2-0648	0	0.04104437407570773	0.2713169726255142	0.1996176812056616	0	0	0.05536496453833767	0.36944112514533073	0	0	0.06321488240944806
LUNG-NSCLC2-0652	0.0291108842628219	0	0.6753236624029452	0.08581851943923989	0	0	0.09980425876308756	0.03952507143103228	0	0.0704176037008731	0
LUNG-NSCLC2-0657	0	0.07002526240403827	0.3617635851205061	0.08766145707023135	0	0.02065190167590599	0.11964281691703312	0.19252715399833845	0.03374220437289718	0.07713636152455973	0.03684925691648985
LUNG-NSCLC2-0660	0.14426613342900738	0.08490721454119629	0.3506841973381054	0	0	0	0	0.420142454691691	0	0	0
LUNG-NSCLC2-0665	0.2930009226294034	0	0.46285996420033504	0	0	0	0.01230788019961424	0.00146031523721999	0.0305109080913701	0.06247939690886159	0.13738061273319557
LUNG-NSCLC2-0672	0.21006150235471485	0.03475690142542166	0.3927743141739033	0	0	0	0.01675325610905813	0.10571462340445854	0.04758136378032022	0.04797268055125696	0.14438535820086645
LUNG-NSCLC2-0677	0.22613570831695953	0.08574534108518155	0.11247791830037392	0	0	0.00921256455895239	0.06148022955467361	0.3028825066376521	0.0377492891196612	0	0.1643164424265456
LUNG-NSCLC2-0678	0.1351782531797979	0	0.4927139950392944	0	0	0	0	0.1752273731771414	0	0	0.1968803786037662
LUNG-NSCLC2-0679	0.5659236534785511	0	0.15418751783312082	0	0	0	0	0.11533373027229786	0.011620543219777	0.00478106839180095	0.14815348680445214
LUNG-NSCLC2-0680	0.7381022435097631	0	0.05480930087964245	0	0	0	0	0	6.0517783579976e-4	0	0.2064832777747947
LUNG-NSCLC2-0683	0.0685261574045988	0.01054602252496023	0.41096235271628934	0.07109030128257215	0.07312683866413687	0.03324404240083906	0.11387189009112632	0.1537150565718099	0	0.0649173383436671	0
LUNG-NSCLC2-0685	0.17300091031364442	0	0.46910333756613426	0.12041193338416348	0	0.03080479684759209	0.11740895730739435	0	0	0.07253207792554871	0.01673798665552271
LUNG-NSCLC2-0687	0	0.05184632553580082	0.4312512279471967	0.13080161959889258	0.1146932976466788	0.03480710487273055	0.1077605878979843	0.06208079892176348	0.00473248093448564	0.06202655664446704	0
LUNG-NSCLC2-0689	0.11974862368976384	0	0.49646032488170383	0.03763404733817993	0	0	0.0040353415783582	0.17670124886231356	0	0	0.16542041364968066
LUNG-NSCLC2-0695	0	0	0.08316370406004218	0.4223448930092913	0.2105004772205875	0	0.06467100405876088	0.18689624460478024	0	0.03242367704653788	0
LUNG-NSCLC2-0696	0	0.02519775365034993	0.22943621278383497	0.15273656152757312	0	0	0.1144239583574452	0.28310352181218146	0	0.13411596102226067	0.06098603084635476
LUNG-NSCLC2-0698	0.07820256791526961	0.101104745941438	0.35360674638857154	0.02581318410632232	0.02686810220863752	0.00902842758166874	0.10411857343070471	0.1928959438303024	0	0.10836170859708516	0
LUNG-NSCLC2-0702	0.6072448702121257	0	0	0	0	0	0	0	0	0	0.39275512978787425
LUNG-NSCLC2-0704	0	0	0.5253832709618508	0.18226645464353605	0	0	0.04160144194718696	0.18074151101229724	0	0	0.07000732143512908
LUNG-NSCLC2-0705	0.13938596754962557	0.04569842986724075	0.5381814534812654	0	0.0610037968738632	0	0.02578849365724626	0.14979093637624732	0.02643205453878977	0.01371886765572184	0
LUNG-NSCLC2-0707	0.12172601279329984	0	0.2920699734629785	0.32934759163187144	0	0.01136451893139091	0.03469544929128721	0.15688919843480376	0	0.01336713678607884	0.04054011866828942
LUNG-NSCLC2-0709	0.05810500869089645	0.04350345356385302	0.3044519559160457	0.04010618710477296	0	0.01215631927536352	0	0.3366108267480727	0	0	0.2050662487009957
LUNG-NSCLC2-0711	0.3453202780806536	0.06493727023967445	0.40200429241399144	0	0	0	0	0.08812848953541351	0.01282388453025616	0.0867857852000109	0
LUNG-NSCLC2-0712	0.03983851612657922	0	0.4481133870135622	0.05816388731601301	0	0.0316999596281086	0	0.16986573866671523	7.190149945877e-5	0.02134776598364596	0.23089884376591707
LUNG-NSCLC2-0713	0.6193602736196995	0	0.1253253569017878	0.01576061253174108	0	0	0.02605934624414264	0.1024373441209504	0	0	0.11105706658167852
LUNG-NSCLC2-0714	0	0	0.5390634411688814	0.2442794603223725	0	0.05438796919964693	0.08598273733634558	0.05471251747616761	0	0.02157387449658595	0
LUNG-NSCLC2-0715	0.11244660357920316	0.00665387102595631	0.5652103878051502	0	0	0	0.04302659364404678	0.23527435192998625	0	0	0.03738819201565732
LUNG-NSCLC2-0717	0.7587154601460471	0	0.084760410213309	0	0.07543470293379417	0	0.00776692954900358	0	0	0.07332249715784629	0
LUNG-NSCLC2-0718	0.18535380674534865	0.03844900894216396	0.4140153665687605	0.05707502065423307	0	0	0.05738285903506841	0.1369581964031005	0.06513635595027802	0	0.04562938570104683
LUNG-NSCLC2-0720	0.01165154357256889	0.02014831291046914	0.5366359719194157	0.02114776889054683	0	0.04363992520906826	0.15262610634300625	0.11091395573396852	0	0.10323641542095648	0
LUNG-NSCLC2-0727	0.00729048692857391	0.00617223231816683	0.3674567258986622	0.23285174917868803	0.04040728056137655	0.02704929333779854	0.07185376315317017	0.12166226389283552	0	0.1252562047307283	0
LUNG-NSCLC2-0728	0	0	0.4740683767527338	0	0	0	0.06450555142960016	0.19772273983486055	0.0240659248459222	0.17218088440549417	0.0674565227313893
LUNG-NSCLC2-0729	0	0	0.48754072931475634	0.15972961644303332	0.13117098006795375	0	0.05200620258156129	0.16955247159269526	0	0	0
LUNG-NSCLC2-0730	0.16555891784328156	0.03836144128799426	0.4212711730208332	0.10305774588223084	0	0.03401543541047655	0	0.12220857245097674	0	0	0.11552671410420684
LUNG-NSCLC2-0732	0.2796862956762455	0.00961208266987645	0.4139343105887182	0.00506187827540968	0	0.00907266092622067	0.01272066099505804	0.14403078291933366	0.00449646087649457	0.01731324222766303	0.10407162484498018
LUNG-NSCLC2-0733	0.5360504599000957	0	0.20806496866741345	0.05498723547887194	0	0	0	0.09563601747539262	0.02671015070960586	0	0.0785511677686204
LUNG-NSCLC2-0734	0.09567562656695006	0	0.21282863496928067	0.05922891694706109	0	0	0.1679246273743922	0.3163317304861276	0.02343719368791464	0.07630474778151766	0.04826852218675604
LUNG-NSCLC2-0736	0.05462185178840255	0	0.6235770914669708	0.01028034978034072	0.22632835270065876	0	0	0.08519235426362703	0	0	0
LUNG-NSCLC2-0737	0	0	0.2892766238345644	0.32545198555207894	0.15277338072186214	0.00724293020494752	0.03141735494150284	0.1712716642748292	0	0.02256606047021506	0
LUNG-NSCLC2-0738	0.2665886560217835	0.03622824344685081	0.3712438313541551	0	0	0.0011889725877762	0	0.06834653537766956	0.00986356038568451	0.06594158435054016	0.18059861647554
LUNG-NSCLC2-0740	0.43340653274669383	0.01454679507357087	0.12112867182219154	0.05367299763465151	0	0.00888553447298194	0.03546563396643752	0.15331608357366072	0	0.03620091730766425	0.14337683340214788
LUNG-NSCLC2-0742	0	0	0.45247577126278526	0	0.07596746292456151	0.10504641887065036	0.15813686201555502	0.13464804050916407	0	0.07135423403413828	0.00237121038314545
LUNG-NSCLC2-0743	0.03672058852971879	0	0.31972433347623885	0.1869494537934911	0.11018791354155356	0.0423399483170218	0.05690604762398685	0.2022150871393429	0	0.04495662757864619	0
