Samples	CBSX__CCLE-TIL10__Cancer.cells	CBSX__CCLE-TIL10__B.cells	CBSX__CCLE-TIL10__Macrophages.M1	CBSX__CCLE-TIL10__Macrophages.M2	CBSX__CCLE-TIL10__Monocytes	CBSX__CCLE-TIL10__Neutrophils	CBSX__CCLE-TIL10__NK.cells	CBSX__CCLE-TIL10__T.cells.CD4	CBSX__CCLE-TIL10__T.cells.CD8	CBSX__CCLE-TIL10__Tregs	CBSX__CCLE-TIL10__Dendritic.cells
LUNG-NSCLC2-0553	0.06486806216351447	0.00439106939785754	0.2518760620637094	0	0	0	0	0.5959739940721385	0	0	0.08289081230278005
LUNG-NSCLC2-0560	0	0	0.3277385912582928	0.03012028762621358	0	0	0.06805330226797189	0.3928925391391967	0	0.06241872578785987	0.11877655392046516
LUNG-NSCLC2-0561	0.6474060645469828	0	0.04428435625939046	0.00655466906409631	0	0	0.01484638887104381	0	0.0129091445451405	0.00744032834572559	0.2665590483676206
LUNG-NSCLC2-0563	0.17502424049863438	0.09159450037807672	0.2680636450496712	0	0	0	0.05766204388781581	0.22729093927838545	0.02379871645928831	0.15656591444812815	0
LUNG-NSCLC2-0565	0.32697672445551546	0.0712899057540204	0.18091891783802797	0	0	0	0.02472185180008874	0.21433539290480463	0.05433806686943986	0.07518052276305007	0.0522386176150528
LUNG-NSCLC2-0566	0.22163378865135816	0.02626393410949834	0.29327282864534515	0	0	0	0.07250634147351667	0.3633939075964167	0	0	0.0229291995238651
LUNG-NSCLC2-0567	0.47361178360121153	0	0.3578834599679511	0	0	0.0297239154802986	0	0	0	0.04155415761694475	0.09722668333359404
LUNG-NSCLC2-0568	0.367173109411255	0	0.3783696230239346	0.00618844892467837	0	0	0	0.21198992539557637	0	0	0.03627889324455561
LUNG-NSCLC2-0569	0.7485999814216886	0	0.1902137161406232	0	0	0	0	0.06118630243768812	0	0	0
LUNG-NSCLC2-0571	0.3120029423585106	0	0.5133013474695196	0.16647026580955113	0	0	0	0.00822544436241847	0	0	0
LUNG-NSCLC2-0572	0.43862013316030185	0	0.2702274969703287	0.05216984098077356	0	0.06422832477708422	0	0.03800240147001106	0.00547055252540415	0.02628286676856316	0.10499838334753324
LUNG-NSCLC2-0576	0.7672954523156376	0	0.17183080745560209	0	0	0	0	0.02701351957000147	0	0.03386022065875881	0
LUNG-NSCLC2-0580	0.2408470199865292	0.0321509836979017	0.3029772974805479	0.08946876305823966	0	0	0.05851323229133447	0.23517150735237377	0	0.03666969599080037	0.00420150014227307
LUNG-NSCLC2-0583	0.5279173061882344	0	0.09630836714261554	0	0	0	0	0.23281016622605988	0	0.00561162891396848	0.13735253152912166
LUNG-NSCLC2-0584	0	0.08130175392292802	0.3598490450903132	0.17378863398838165	0.13927977648503903	0	0.07976264632302876	0.11494961096622644	0	0.05085990309941966	2.0863012466324e-4
LUNG-NSCLC2-0585	0.6252802064086659	0	0.1561352263132966	0	0	0	0.06246531774453407	0	0	0.02323749492974554	0.13288175460375784
LUNG-NSCLC2-0587	0.2968628740477373	0.0841370750009015	0.3154365891307744	0	0.07681160621824894	0	0	0.08586562973131238	0.01721131217192054	0.04535106763793079	0.07832384606117422
LUNG-NSCLC2-0588	0	0	0.34793879855059556	0.1327512276463004	0.28450517599404124	0.04843841787589426	0.11189083998854324	0.03318765237940752	0	0.01348047471248442	0.02780741285273336
LUNG-NSCLC2-0590	0.6387478356547199	0	0.13039133411891074	0.06051057424073596	0	0.0029865512745401	0	0	0.00414626342896544	0.03004802818007047	0.13316941310205735
LUNG-NSCLC2-0592	0.30211767564678543	0	0.23004118168833	0.09614103509569014	0	0	0.00293264774462917	0.2665466242961263	0	0	0.10222083552843908
LUNG-NSCLC2-0593	0	0.10595257298679268	0.18228019081036417	0.04827148179424598	0	0.04211052334767028	0.08390983446741572	0.34358048528135565	0	0.10103267348328364	0.09286223782887187
LUNG-NSCLC2-0595	0.6489512155592296	0	0.2044275688515442	0	0	0	0	0	0.00410998607337857	0.01378063284388106	0.12873059667196657
LUNG-NSCLC2-0596	0.21660041862203783	0	0.5762672891278156	0.03741958622294726	0.00403432485164247	0.01482232221676122	0.04444761272723057	0.03335765277786492	0	0.07305079345370014	0
LUNG-NSCLC2-0599	0	0.00591815778999934	0.3618212928886997	0.2639902701190208	0.14294871350447674	0.0521706310515594	0.0669555703310658	0.08434986139363768	0	0.02184550292154059	0
LUNG-NSCLC2-0602	0	0.06320125894943406	0.3859773914403444	0.08535158982082511	0	0.0755462987512041	0.11726630675180574	0	0.00486612823582034	0.26779102605056615	0
LUNG-NSCLC2-0603	0.2774772510939624	0.004220019846272	0.5474173503467388	0	0	0.01107545900021739	0	0.03329872231905301	0.04233386476201806	0.08417733263173842	0
LUNG-NSCLC2-0607	0.753060146159588	0	0.09866100467429406	0	0	0	0	0.03872317267296509	0.00219627635669997	0	0.10735940013645304
LUNG-NSCLC2-0608	0.364285416877516	0	0.37416567696496944	0.02844918035599679	0	0.00709270477687335	0.06705770145968247	0.13328187091360466	0	0	0.02566744865135725
LUNG-NSCLC2-0610	0.0818946839163227	0	0.7328466716449933	0	0	0	0.07481957268280498	0.11043907175587904	0	0	0
LUNG-NSCLC2-0611	0.2401062901902389	0	0.27932428541678406	0.20682535974253555	0	0	0.137920653631342	0.01933105252277405	0	0.07583509455280693	0.04065726394351853
LUNG-NSCLC2-0612	0.7246875217092914	0	0.05956111691303451	0	0	0	0	0.21575136137767417	0	0	0
LUNG-NSCLC2-0613	0.7911334829159608	0	0.10884085808504249	0.0054246890303584	0	0	0	0	0	0.02408681917263675	0.07051415079600168
LUNG-NSCLC2-0614	0	0	0.6702500753320874	0	0	0.04506023978165901	0.03748512322503062	0.1752675483252018	0	0	0.07193701333602127
LUNG-NSCLC2-0617	0.45727476199484657	0	0.19491650391527077	0	0.2821662300652755	0	0.02458841341035306	0.0195120186246446	0	0.02154207198960962	0
LUNG-NSCLC2-0622	0.4148110364831806	0	0.314528017583217	0.12405338341010716	0	0	0.01017977530784027	0	0	0.1066890000856702	0.02973878712998495
LUNG-NSCLC2-0623	0.04432732196838084	0	0.3841640519255507	0.0602037741507598	0.14403691981885602	0	0.06577398667966065	0.08134426327643417	0.173228789488577	0.03812635176452539	0.00879454092725555
