Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
LUNG-NSCLC2-0553	0	0.18999806641624611	0	0	0	0.187844603238306	0	0	0.3663847554487929	0.25577257489665495
LUNG-NSCLC2-0560	0	0.3964896535681459	0	0.17684304059279163	0	0.22938399605035875	0	0	0.19728330978870376	0
LUNG-NSCLC2-0561	0	0	0	0	0	0	0.5941534818684057	0	0	0.4058465181315942
LUNG-NSCLC2-0563	0.03001858650268878	0.2130170809754844	0.06543438083815736	0	0	0.01016073716426094	0.2875172977393102	0.06675073444437425	0.07537936315386663	0.25172181918185743
LUNG-NSCLC2-0565	0	0.2064198546838021	0	0	0	0.01284488109308602	0.3793509540767728	0.12828853482759114	0	0.2730957753187479
LUNG-NSCLC2-0566	0	0.36655621732232774	0	0	0	0.18437009630527615	0.02826410621951813	0.03266311126943434	0.06346212787929852	0.32468434100414506
LUNG-NSCLC2-0567	0	0.42605979560800455	0.01809508260839401	0	0.1322686355738186	0	0.13308091494951432	0	0	0.2904955712602686
LUNG-NSCLC2-0568	0	0.5141841089021114	0.15868578191948823	0	0	0	0.11584953854762146	0	0	0.21128057063077885
LUNG-NSCLC2-0569	0.00724572087337743	0.5776439396003862	0	0	0	0	0.17031391470445492	0	0	0.2447964248217815
LUNG-NSCLC2-0571	0	0.371266738905183	0.21617759835825068	0	0	0	0	0	0.11684057828464452	0.2957150844519217
LUNG-NSCLC2-0572	0	0.5025888237704547	0.03068045638667105	0	0.04644957137719304	0	0.3890206612499196	0	0	0.0312604872157617
LUNG-NSCLC2-0576	0	0.4140393465955776	0	0	0.03137107187825252	0	0.5514307171860509	0.00315886434011894	0	0
LUNG-NSCLC2-0580	0	0.4087005525171839	0	0	0	0.07339368847262576	0.4086704997557587	0	0	0.10923525925443148
LUNG-NSCLC2-0583	0	0.46569682472841106	0	0	0	0	0.40626845159113495	0	0	0.1280347236804541
LUNG-NSCLC2-0584	0	0.33668650011461876	0.1313480642147093	0	0	0.0655327971994956	0	0	0.19880370103319375	0.2676289374379827
LUNG-NSCLC2-0585	0	0.19398822549716851	0	0	0	0	0.5567456070447009	0	0	0.24926616745813077
LUNG-NSCLC2-0587	0.03949078221047302	0.4078091043011367	0	0	0	0.01225498894002302	0.4614855996094708	0.07895952493889642	0	0
LUNG-NSCLC2-0588	0	0.41857651573491633	0.17730975378942523	0	0.04632056938849097	0	0	0	0	0.35779316108716747
LUNG-NSCLC2-0590	0	0.389488213286915	0	0	0	0.099614962406775	0.4884096310798046	0	0	0.0224871932265054
