Samples	CBSX__HNSCC__B_cells	CBSX__HNSCC__T_cells_CD8	CBSX__HNSCC__T_cells_CD4	CBSX__HNSCC__Macrophages	CBSX__HNSCC__Dendritic_cells	CBSX__HNSCC__Mast_cells	CBSX__HNSCC__Myocytes	CBSX__HNSCC__CAFs	CBSX__HNSCC__Endothelial_cells	CBSX__HNSCC__Malignant_cells
IMMU-BC2-0118-FIXT-01	0	0	0	0	0.01651450031207216	0	0	0.8379553473548759	0.14553015233305214	0
IMMU-BC2-0118-FIXT-02	0	0	0.06966117455475324	0.2318060277975001	0	0	0	0.66901269572179	0.02952010192595675	0
IMMU-BC2-0132-FIXT-01	0	0	0.05154253228703785	0	0	0	0	0.7818910154650192	0.02903390644722327	0.1375325458007196
IMMU-BC2-0140-FIXT-01	0.00615895086754516	0	0.12479556487197024	0	0.03712810362279931	0	0	0.7977992736721952	0.03411810696548997	0
IMMU-BC2-0140-FIXT-03	0	0	0.0912447812978561	0.09713131304173846	0.0680860139557117	0	0	0.6860581909986325	0.0502938835997161	0.00718581710634501
IMMU-BC2-0145-FIXT-01	0	0	0	0.05916720982897056	0.05120723404538286	0	0	0.8254326383585108	0.06419291776713604	0
IMMU-BC2-0151-FIXT-01	0	0.01666160362535558	0	9.5686254208044e-4	0	0	0	0.9105455529664589	0.0718359808661051	0
IMMU-BC2-0159-FIXT-02	0	0	0.3292309748359789	0.06064406563094003	0.01239070294069535	0	0	0.5977342565923858	0	0
IMMU-BC2-0163-FIXT-01	0	0	0.05025771224680699	0	0	0	0	0.7359450381125135	0.00311245289344528	0.21068479674723417
IMMU-BC2-0166-FIXT-01	0	0	0.03320593679987771	0	0.017311149163203	0	0	0.9147783951303722	0	0.0347045189065471
IMMU-BC2-0167-FIXT-01	0	0	0.16632602233749202	0.04414517888034803	0	0	0	0.6959025137466882	0.09362628503547178	0
IMMU-BC2-0172-FIXT-01	0.00727021945158387	0	0.25439532394320735	0.1004607175522756	0.03096036184248212	0	0	0.601416199429227	0	0.00549717778122411
IMMU-BC2-0197-FIXT-02	0.00167306629456309	0.07724706425181238	0	0.05504498216371481	0	0	0	0.8206684562314496	0.04536643105846019	0
