Mixture	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells	P-value	Correlation	RMSE
IMMU-BC2-0118-FIXT-01	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01651450031207216	0.00000000000000000	0.00000000000000000	0.83795534735487576	0.14553015233305214	0.00000000000000000	0.00000000000000000	0.03061330777789185	1.05857775280360800
IMMU-BC2-0118-FIXT-02	0.00000000000000000	0.00000000000000000	0.06966117455475324	0.23180602779750009	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.66901269572179001	0.02952010192595675	0.00000000000000000	0.00000000000000000	0.08235285563373998	1.03380938672872946
IMMU-BC2-0132-FIXT-01	0.00000000000000000	0.00000000000000000	0.05154253228703785	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.78189101546501927	0.02903390644722327	0.13753254580071961	0.00000000000000000	0.06434951216916461	1.04034020716730446
IMMU-BC2-0140-FIXT-01	0.00615895086754516	0.00000000000000000	0.12479556487197023	0.00000000000000000	0.03712810362279931	0.00000000000000000	0.00000000000000000	0.79779927367219527	0.03411810696548997	0.00000000000000000	0.00000000000000000	0.02847710910770106	1.04990034699996082
IMMU-BC2-0140-FIXT-03	0.00000000000000000	0.00000000000000000	0.09124478129785610	0.09713131304173846	0.06808601395571171	0.00000000000000000	0.00000000000000000	0.68605819099863252	0.05029388359971610	0.00718581710634501	0.00000000000000000	0.06837142181245955	1.03139239237309144
IMMU-BC2-0145-FIXT-01	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05916720982897056	0.05120723404538286	0.00000000000000000	0.00000000000000000	0.82543263835851066	0.06419291776713604	0.00000000000000000	0.00000000000000000	0.04522190302003334	1.05110606235409554
IMMU-BC2-0151-FIXT-01	0.00000000000000000	0.01666160362535558	0.00000000000000000	0.00095686254208044	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.91054555296645889	0.07183598086610510	0.00000000000000000	0.00000000000000000	0.05032140064335425	1.05683939283272466
IMMU-BC2-0159-FIXT-02	0.00000000000000000	0.00000000000000000	0.32923097483597891	0.06064406563094003	0.01239070294069535	0.00000000000000000	0.00000000000000000	0.59773425659238577	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01664963896630888	1.03702829444747535
IMMU-BC2-0163-FIXT-01	0.00000000000000000	0.00000000000000000	0.05025771224680699	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.73594503811251355	0.00311245289344528	0.21068479674723414	0.00000000000000000	0.07649581551801536	1.03708495505725140
IMMU-BC2-0166-FIXT-01	0.00000000000000000	0.00000000000000000	0.03320593679987771	0.00000000000000000	0.01731114916320300	0.00000000000000000	0.00000000000000000	0.91477839513037218	0.00000000000000000	0.03470451890654710	0.00000000000000000	0.06317932813980549	1.05052213341874223
