Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
Patient100	0.26785870125927319	0.00000000000000000	0.00000000000000000	0.11283218230559862	0.61930911643512820	0.00000000000000000	0.00000000000000000	0.36215256923765798	0.93869005482100465
Patient102	0.12093050018860890	0.12577147770007691	0.00000000000000000	0.00000000000000000	0.63895806738051852	0.11433995473079558	0.00000000000000000	0.03814812063184001	1.13277652657329519
Patient105	0.53444910466808648	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.41203964545955113	0.05351124987236219	0.00000000000000000	0.01804064534907641	1.06923814089528357
Patient106	0.10530983081519685	0.02154484708712684	0.00000000000000000	0.00000000000000000	0.87314532209767637	0.00000000000000000	0.00000000000000000	0.05135859969625616	1.14249632810690827
Patient107	0.23532713931862567	0.00000000000000000	0.66527553153238539	0.00000000000000000	0.00000000000000000	0.09939732914898880	0.00000000000000000	0.01849200389183243	1.02581736754279484
Patient108	0.13013233290629395	0.03088448003856706	0.00000000000000000	0.00000000000000000	0.77459581661541410	0.06438737043972502	0.00000000000000000	0.02198020934512810	1.13429637918840420
Patient10	0.00000000000000000	0.00000000000000000	0.19395309331913299	0.17855750041515323	0.62748940626571381	0.00000000000000000	0.00000000000000000	0.05728875270718375	1.07605780162479236
Patient112	0.02267186338967156	0.01090658303990790	0.29441042956445357	0.00000000000000000	0.67201112400596696	0.00000000000000000	0.00000000000000000	0.04785700634083092	1.08788992456815059
Patient116	0.09295161993502998	0.03667320588044325	0.00000000000000000	0.00000000000000000	0.87037517418452681	0.00000000000000000	0.00000000000000000	0.04893839976961566	1.14591756206165774
Patient117	0.06006686271525535	0.01191754078859091	0.00000000000000000	0.00000000000000000	0.92801559649615384	0.00000000000000000	0.00000000000000000	0.26490688575185378	1.03230234460938708
Patient11	0.11569478328867577	0.03272711369386933	0.00000000000000000	0.00000000000000000	0.85157810301745496	0.00000000000000000	0.00000000000000000	0.05647030061491617	1.13626165193627759
Patient121	0.00000000000000000	0.00000000000000000	0.23761869610327219	0.06630733059660185	0.69607397330012588	0.00000000000000000	0.00000000000000000	0.08645266737516696	1.07438497402168087
Patient125	0.45677253578130728	0.00000000000000000	0.00000000000000000	0.10796171399948089	0.43526575021921182	0.00000000000000000	0.00000000000000000	0.49264939015917725	0.87458320616496599
Patient126	0.04366070925622217	0.00000000000000000	0.00000000000000000	0.03768574647692192	0.91865354426685597	0.00000000000000000	0.00000000000000000	0.19298117678362048	1.07180403207013941
Patient127	0.09004410710726803	0.05259408463831169	0.00000000000000000	0.00000000000000000	0.85736180825442021	0.00000000000000000	0.00000000000000000	0.02752086166909989	1.15768229513329990
Patient130	0.08647980817230660	0.01281185814529444	0.00000000000000000	0.00000000000000000	0.90070833368239900	0.00000000000000000	0.00000000000000000	0.17482585036871323	1.07998215050530777
Patient131	0.09062132564395907	0.08274585978394405	0.00000000000000000	0.00000000000000000	0.82663281457209692	0.00000000000000000	0.00000000000000000	0.10943593590703325	1.11498755319737919
