Samples	CBSX__HNSCC__B_cells	CBSX__HNSCC__T_cells_CD8	CBSX__HNSCC__T_cells_CD4	CBSX__HNSCC__Macrophages	CBSX__HNSCC__Dendritic_cells	CBSX__HNSCC__Mast_cells	CBSX__HNSCC__Myocytes	CBSX__HNSCC__CAFs	CBSX__HNSCC__Endothelial_cells	CBSX__HNSCC__Malignant_cells
IMMU-BC3-0099	0	0	0.03363320481543387	0	0	0	0	0.9279512348888097	0.03841556029575633	0
IMMU-BC3-0101	0	0	0.2983111205655648	0.03835339831816995	0.0086751636148889	0	0	0.552454441076871	0.10220587642450536	0
IMMU-BC3-0109	0	0	0.2736417038901383	0.14232477310164326	0	0	0	0.5389831714474371	0.04505035156078131	0
IMMU-BC3-0111	0	0	0.10485565920763952	0.07361255688004596	0	0	0	0.6544206254067215	0.1613716312553277	0.00573952725026543
IMMU-BC3-0113	0	0	0.1807824574345933	0	0	0	0	0.6773828333118826	0.14183470925352393	0
IMMU-BC3-0119	0	0	0.10503865413526844	0	0	0	0	0.8072582249828114	0.08770312088192031	0
IMMU-BC3-0124	2.0425450643827e-4	0	0.0522817165601265	0	0	0	0	0.9113308169928309	0.03618321194060437	0
IMMU-BC3-0126	0.00171246950370458	0	0.23645847780793455	0.07696936992771465	0	0	0	0.5684441406078362	0.11641554215281	0
IMMU-BC3-0138	0	0	0.09027833394710312	0	0	0	0	0.7882545296200943	0.12146713643280244	0
IMMU-BC3-0139	0.00129015497188547	0	0.09194196832447472	0	0	0	0	0.783477129485411	0.1232907472182288	0
IMMU-BC3-0147	0	0	0.04369344067666389	0	0.01776318572628746	0	0	0.8438848166793665	0.0946585569176822	0
IMMU-BC3-0152	0	0	0	0	0.01411947612924961	0	0	0.8304776578230809	0.15540286604766934	0
IMMU-BC3-0154	0	0	0	0	0	0	0	0.8461524781425404	0.15384752185745956	0
IMMU-BC3-0154	0	0	0.00912314558778025	0	0.00117883191301295	0	0	0.8876366924986503	0.1020613300005565	0
IMMU-BC3-0155	0.00558811370172688	0	0.20516622960054223	0.05725144329020913	0.014406003045252	0	0	0.6568216525928384	0.06076655776943134	0
IMMU-BC3-0165	0	0	0.1682421161906426	0.1470814957882472	0	0	0	0.6437046865204222	0.04097170150068789	0
IMMU-BC3-0168	0.01288797166847389	0	0.4428780938727185	0	0.01784657222005677	0	0	0.4512012809357009	0.07518608130305007	0
IMMU-BC3-0171	0	0	0.30264468769304587	0.02728950619294003	0	0	0	0.4883697341013352	0.18169607201267893	0
IMMU-BC3-0177	0	0	0.554989505630176	0.04866052685925299	0	0	0	0.39634996751057106	0	0
IMMU-BC3-0181	0	0	0.05314206641142228	0	0.04441096420506557	0	0	0.5887365735094731	0.31371039587403904	0
IMMU-BC3-0187	0	0	0.18270662275594937	0	0	0	0	0.6997796178887824	0.11751375935526828	0
IMMU-BC3-0188	0.02123921271347074	0	0.19657026785958667	0.13886421829326495	0.0014547321002221	0	0	0.6078100746184706	0.03406149441498494	0
IMMU-BC3-0189	0	0	0.23045765781586905	0	0.01032034672345524	0	0	0.7014212600047495	0.05780073545592625	0
IMMU-BC3-0190	0.00291382993595342	0	0.14286311447075545	0	0.00862746698601971	0	0	0.7796553657419181	0.02719235263065756	0.038747870234695773
IMMU-BC3-0198	8.6625145299649e-4	0	0.09087859498312024	0	0.05002863700733481	0	0	0.7587982671396947	0.09942824941685371	0
IMMU-BC3-0199	0	0	0.2822530304889537	0.27061993269851875	0	0	0	0.44712703681252747	0	0
IMMU-BC3-0200	0.01218887851542212	0	0.08671035442637948	0	0	0	0	0.8721582949038481	0.02894247215435028	0
IMMU-BC3-0204	0	0	0.3469673702127442	0.1067038431135518	0	0	0	0.5145372606306111	0.03179152604309293	0
IMMU-BC3-0212	0	0	0.02332697228949213	0	0	0	0	0.9214130502654497	0.05525997744505818	0
IMMU-BC3-0220	0	0	0.11563671581300554	0	0	0	0	0.8295524546784584	0.05481082950853609	0
IMMU-BC3-0221	0	0	0.08487113970504015	0	0	0	0	0.8175117765479529	0.09761708374700676	0
IMMU-BC3-0222	0	0	0	0.04591960632372007	0	0.00236773272196254	0	0.8591851404500556	0.09252752050426172	0
IMMU-BC3-0230	0	0	0	0	0.02882126484547979	0.02935144408309416	0	0.8684759734863917	0.07335131758503433	0
IMMU-BC3-0233	0	0	0.09221280401946425	0	0	0	0	0.9005640510487245	0.00722314493181114	0
IMMU-BC3-0234	0	0	0.11843917551239332	0	0	0.00505602315177914	0	0.680281746333238	0.1962230550025895	0
IMMU-BC3-0235	0	0	0.11865332753743492	0	0	0	0	0.8014357771257631	0.07991089533680217	0
IMMU-BC3-0238	0	0	0	0	0	0	0	0.7393053316734108	0.26069466832658894	0
IMMU-BC3-0239	0	0	0.09931742643668508	0.06428924653388673	0	0	0	0.734716164053512	0.10167716297591634	0
IMMU-BC3-0240	0	0	0.14179995196563386	0.06325742423375845	0	0	0	0.7374480396492696	0.05749458415133808	0
IMMU-BC3-0241	0	0	0.09300557976528503	0	0.08155665819785389	0	0	0.8254377620368609	0	0
IMMU-BC3-0251	0	0	0.2377556314361496	0	3.4452630621791e-4	0	0	0.6894926319965586	0.07240721026107386	0
IMMU-BC3-0251	0	0	0.03237924883388157	0.00656243585716098	0	0	0	0.8989393088771753	0.04773509090143461	0.01438391553034742
IMMU-BC3-0255	0.00442176363184934	0	0.2426244929467094	0.07199035271554886	0	0	0	0.6413117108290729	0.03965167987681954	0
IMMU-BC3-0256	0	0	0.02068893782884594	0	0	0	0	0.7774469045005435	0.20186415767061044	0
IMMU-BC3-0262	0	0	0.06267098216350676	0	0	0	0	0.8426009444524256	0.09472807338406772	0
IMMU-BC3-0263	0	0	0.04555673800550682	0	0.01106843973448487	0	0	0.8114635608938893	0.13191126136611908	0
IMMU-BC3-0263	0	0	0.00627022402124378	0	0	0	0.08655241198062683	0.7677552209088803	0.11876444672055922	0.02065769636868985
IMMU-BC3-0267	0	0	0	0	0	0	0	0.7387604346443181	0.26123956535568194	0
IMMU-BC3-0269	0	0	0	0	0	0	0	0.876530612061963	0.12346938793803695	0
IMMU-BC3-0272	0.00298447031954788	0	0.11137633212486726	0.10191838643025458	0	0	0	0.7081564620210897	0.0755643491042406	0
IMMU-BC3-0273	0	0	0.03911338495598682	0	0	0	0	0.7983442300913793	0.16254238495263373	0
IMMU-BC3-0274	0	0	0.11631961420547685	0.11129473089068088	0	0	0	0.7723856549038423	0	0
IMMU-BC3-0275	0	0	0.11236431224629798	0	0	0	0	0.8539573662947749	0.03367832145892719	0
IMMU-BC3-0275	0	0	0	0	0	0.10735122228080148	0	0.7515661555546485	0.14108262216455006	0
IMMU-BC3-0276	0	0	0.07138679765746105	0.08733358524743921	0	0	0	0.830438469180034	0.01084114791506575	0
IMMU-BC3-0278	0	0	0	0.09184480542636927	0	0.03773258084290686	0	0.5849182902649485	0.2855043234657754	0
IMMU-BC3-0281	0	0	0.06817818505909723	0	0	0	0	0.9207149224675656	0.01110689247333719	0
IMMU-BC3-0281	0	0	0.2532086651066478	0	0.04660835388775217	0	0	0.6857517092320404	0.01443127177355955	0
IMMU-BC3-0286	0.00497186838910826	0	0.26375671209504814	0.14711490803145005	0	0	0	0.5529773956577833	0.03117911582661029	0
IMMU-BC3-0291	0.00132687170943384	0	0.3397667620505712	0.05811087801211728	0.04640515530013217	0	0	0.46211349465494583	0.0922768382727996	0
IMMU-BC3-0296	0	0.01904840543253189	0	0	0	0	0	0.6752673917186081	0.04078266023615956	0.2649015426127006
IMMU-BC3-0299	0	0	0.09256019283888496	0	0	0	0	0.8230073227072643	0.08443248445385075	0
IMMU-BC3-0307	0	0	0.10786252329807254	0.01010136731732425	0	3.3370237100581e-4	0	0.7933132077375897	0.08838919927600776	0
IMMU-BC3-0315	0	0	0.1838003411603074	0	0	0	0	0.7650706112512672	0.05112904758842542	0
IMMU-BC3-0321	0	0	0	0	0	0	0	0.8261912419127588	0.13261528344320764	0.04119347464403343
