Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
IMMU-BC3-0099	0	0.00964477977402942	0	0	0	0	0.4740351316641522	0	0.4047261318249687	0.11159395673684978
IMMU-BC3-0101	0	0	0	0	0	0	0.24921049204531093	0.20658040359051935	0.08201044687520881	0.4621986574889608
IMMU-BC3-0109	0	0	0	0	0	0	0.24349042124159517	0.1944051637697806	0.2030987126983368	0.3590057022902874
IMMU-BC3-0111	0	0.14834890868803488	0	0	0	0	0.3799206404826605	0.06334551484725709	0	0.40838493598204734
IMMU-BC3-0113	0	0	0	0	0	0	0	0.4214122542724326	0.22200698365131633	0.35658076207625095
IMMU-BC3-0119	0	0	0	0	0	0	1	0	0	0
IMMU-BC3-0124	0	0.2592545254108856	0	0	0	0	0.04214130417559524	0.21387487707763833	0.2918205058451369	0.192908787490744
IMMU-BC3-0126	0	0	0	0	0	0.02035247142046358	0	0.2861378232733698	0.22306430284886655	0.4704454024573
IMMU-BC3-0138	0	9.8900160830187e-4	0.00922532290856137	0.02042769834663031	0.00368050559041025	0	0.9656774715460962	0	0	0
IMMU-BC3-0139	0	0.04458288751786318	0	0	0	0	0	0.09056253364048254	0.4142730749277356	0.45058150391391866
IMMU-BC3-0147	0	0	7.053816451192e-4	0	0	0	0.5130909123679379	0.21065876884788196	0	0.2755449371390609
IMMU-BC3-0152	0	0.14317115287153678	0	0	0	0	0.5769841562435898	0.01485278900262114	0	0.2649919018822523
IMMU-BC3-0154	0	0.08230943070067226	0	0	0	0	0.6052390687850079	0	0	0.3124515005143198
IMMU-BC3-0154	0	0.03252732161560998	0	0	0	0	0.9674726783843901	0	0	0
IMMU-BC3-0155	0	0.2324096740409433	0	0	0	0	0	0.23375741945510087	0.36333056843308414	0.17050233807087173
IMMU-BC3-0165	0	0.08167138701061917	0	0.24257294372277963	0	0	0.6757556692666012	0	0	0
IMMU-BC3-0168	0.0331953410518931	0.10438162949288572	0	0	0	0	0.3021061703972479	0.13887976656129267	0.15540432059679307	0.26603277189988744
IMMU-BC3-0171	0	0.03380875333143901	0	0	0	0	0.5820895654275019	0.09127470404801992	0	0.29282697719303913
IMMU-BC3-0177	0.14324702688498436	0.01688241724464194	0	0	0	0	0	0.2404223915181384	0.14294577303244496	0.45650239131979026
IMMU-BC3-0181	0	0.11848586594312845	0	0	0	0	0.7644768702760417	0.05144616473967878	0	0.06559109904115105
IMMU-BC3-0187	0	0.08858774192903288	0.24276148990803437	0	0	0	0.4483932706905336	0	0	0.22025749747239917
IMMU-BC3-0188	0	0.01051755639002326	0	0	0	0	0	0.26980568824001355	0.5657884542213742	0.15388830114858906
IMMU-BC3-0189	0.03097157188680891	0.14084255846211946	0	0	0	0	0.19360639663011472	0.03067149189416206	0.38131766435530245	0.22259031677149232
IMMU-BC3-0190	0.11501030928799984	0.07613619572696645	0	0	0	0	0	0.3764900506835967	0.1308587131857928	0.3015047311156442
IMMU-BC3-0198	0	0.1834138139886614	0	0	0	0	0	0.02192712158617392	0.5880422973122331	0.2066167671129316
IMMU-BC3-0199	0	0.3554595448940143	0	0	0	0	0	0.3857409921520355	0.1834493343971628	0.07535012855678741
IMMU-BC3-0200	0	0	0.07983764135939411	0	0	0	0	0.46995477430887694	0.0662203639013181	0.3839872204304108
IMMU-BC3-0204	0.03553182392522608	0.08149082225519404	0.01900030469036426	0.03160515691805747	0.07293391056316918	0	0.701638383372145	0.04653821678303673	0.01126138149280723	0
