Samples	CBSX__CCLE-TIL10__Cancer.cells	CBSX__CCLE-TIL10__B.cells	CBSX__CCLE-TIL10__Macrophages.M1	CBSX__CCLE-TIL10__Macrophages.M2	CBSX__CCLE-TIL10__Monocytes	CBSX__CCLE-TIL10__Neutrophils	CBSX__CCLE-TIL10__NK.cells	CBSX__CCLE-TIL10__T.cells.CD4	CBSX__CCLE-TIL10__T.cells.CD8	CBSX__CCLE-TIL10__Tregs	CBSX__CCLE-TIL10__Dendritic.cells
IMMU-BC2-0118-FIXT-01	0.17730044596533784	0	0.09998977074712082	0	0	0	0	0.6719269568297832	0.05078282645775812	0	0
IMMU-BC2-0118-FIXT-02	0	0	0.22137083533244337	0	0	0	0	0.5134096026874614	0.02879986891754474	0	0.23641969306255056
IMMU-BC2-0132-FIXT-01	0.39625457482880205	0.00267413890091418	0.24344136408341732	0	0	0	0	0	0.13876781362421123	0.03869493577069818	0.18016717279195724
IMMU-BC2-0140-FIXT-01	0.1428581789075145	0.03715511198195906	0	0.05173097656867163	0	0	0	0.2886018472974411	0.251570578833494	0.16423455326894423	0.06384875314197534
IMMU-BC2-0140-FIXT-03	0.4098418848358382	0	0.24010295639185256	0	0	0	0	0.1439632685276631	0.04932426888224975	0.02058303901772476	0.13618458234467146
IMMU-BC2-0145-FIXT-01	0.20903799230493317	0	0.06844376717306053	0	0	0	0	0.6083523701886192	0	0	0.11416587033338708
IMMU-BC2-0151-FIXT-01	0.21855306467725233	0	0.15122344162239004	0.04480614160468882	0	0	0	0	0	0.3877133723831018	0.19770397971256717
IMMU-BC2-0159-FIXT-02	0.26569805890647596	0.06100495327366302	0.11078093428468544	0	0	0	0	0.3140810830010411	0.1038460199030366	0	0.14458895063109792
IMMU-BC2-0163-FIXT-01	0.6027110818655482	0	0.02439854302584865	0	0	0	0	0	0.2847165445151342	0	0.0881738305934689
IMMU-BC2-0166-FIXT-01	0.48698287969864473	0	0	0	0	0	0	0.24006229815903124	0.01524055004490803	0	0.2577142720974161
IMMU-BC2-0167-FIXT-01	0.6510334086558515	0	0	0	0	0	0	0	0.00578409223572676	0	0.3431824991084218
IMMU-BC2-0172-FIXT-01	0.5802595291913598	0	0.06591876566671108	0.01474959861181117	0	0	0	0.01352856006573244	0.0906249252072426	0.01273159880852746	0.22218702244861535
IMMU-BC2-0197-FIXT-02	0.19014418387457196	0.08913285379236345	0.1243200973202178	0.03472581930881249	0	0.01752705574713809	0.01704879387488246	0	0	0.5271011960820137	0
IMMU-BC2-0202-FIXT-01	0.461927326364062	0	0.16868123338352803	0	0	0	0	0.0914351568375508	0.09278752707425349	0	0.18516875634060573
IMMU-BC2-0210-FIXT-01	0.2222110206658111	0.06966222111639153	0.10247464804353908	0	0	0	0	0	0.1903725881373169	0.08315193886681811	0.3321275831701233
IMMU-BC2-0211-FIXT-01	0.3093203646634287	0	0.114294529351709	0	0	0	0	0.3518662315444072	0.19008964460355596	0	0.03442922983689914
IMMU-BC2-0215-FIXT-01	0	0.01045175517580499	0.06112261179801792	0	0	0	0	0.2775216970794447	0.18621074115104785	0.09545856519391206	0.3692346296017726
IMMU-BC2-0217-FIXT-02	0	0.00755600570388134	0.27214205381089457	0.0044765380712983	0	0	0	0.14088006755862667	0.16601403449404736	0.2668634592700947	0.142067841091157
IMMU-BC2-0218-FIXT-01	0.3360277862540368	0	0.08198305306917529	0	0	0	0	0.5626742390349773	0	0	0.01931492164181055
IMMU-BC2-0218-FIXT-02	0.11822496395723003	0.02535198023263809	0.1872508489381732	0	0	0	0	0.11548623035132843	0.24496194887769632	0.03666474785173371	0.27205927979120015
IMMU-BC2-0223-FIXT-01	0.2626014581969036	0	0.20399683591124057	0	0	0	0	0.283670414309452	0.13713478409681618	5.1609390821297e-4	0.11208041357737472
IMMU-BC2-0223-FIXT-02	0.36246299427418854	0	0.10199079929073972	0	0	0	0	0.17483818686389535	0.17807874619484992	0	0.1826292733763263
