Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Hugo_Cell_2016-Pt1	0.02527985087251102	0.00000000000000000	0.02878656004279635	0.16795738105464808	0.00000000000000000	0.10007371766043478	0.01760458420646573	0.02508016935057958	0.02321009468335563	0.00000000000000000	0.00000000000000000	0.00106830166582679	0.00316871770591620	0.04366963271116829	0.10408125878682728	0.34032687877328582	0.04856270565659829	0.00000000000000000	0.05908961240670795	0.00000000000000000	0.01204053442287810	0.00000000000000000	0.00000000000000000	0.13169873368894158	1.03987814612919793
Hugo_Cell_2016-Pt2	0.01057603982060742	0.00000000000000000	0.00531567344420234	0.09624351940077541	0.00000000000000000	0.06396923619988723	0.00000000000000000	0.05802040381659430	0.01732361042551097	0.03466720018373194	0.00000000000000000	0.06387859951522572	0.05424336088133482	0.06452005203372359	0.05394690225680532	0.37412885043194549	0.00313527632388996	0.00000000000000000	0.00000000000000000	0.06419993449374067	0.00270247740404599	0.03312886336797888	0.00000000000000000	0.13541476271686373	1.05052542410975436
Hugo_Cell_2016-Pt4	0.02716217824251984	0.00000000000000000	0.01614424654544495	0.15764362990914524	0.00000000000000000	0.01584020420443614	0.00000000000000000	0.08356544945691996	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06924086425430602	0.21176142576668286	0.00000000000000000	0.05512578012004221	0.25937110369149813	0.00723722979875385	0.00000000000000000	0.00000000000000000	0.01026231467266569	0.00000000000000000	0.08664557333758524	0.00000000000000000	0.17507711548396485	1.02889069458838778
Hugo_Cell_2016-Pt5	0.00268168323673116	0.00325805027129962	0.00000000000000000	0.00000000000000000	0.02881040975186636	0.23391083880840752	0.00000000000000000	0.00588671396516791	0.08220002870336700	0.00000000000000000	0.09147902000759560	0.00000000000000000	0.00000000000000000	0.08928565182353111	0.00000000000000000	0.23297159398798750	0.00000000000000000	0.03825890135210182	0.17591030487259687	0.00000000000000000	0.01534680321934763	0.00000000000000000	0.00000000000000000	0.07896291344680363	1.05857128661598376
Hugo_Cell_2016-Pt6	0.00000000000000000	0.00000000000000000	0.00344752022635630	0.00000000000000000	0.05949974402658878	0.06810759231555842	0.01056178141781842	0.00000000000000000	0.06479057252204225	0.00000000000000000	0.09024525390397622	0.00000000000000000	0.15754068067924712	0.13927400693969000	0.00000000000000000	0.21956370437271319	0.00000000000000000	0.03892707493831538	0.02227697695252747	0.00000000000000000	0.00000000000000000	0.12576509170516642	0.00000000000000000	0.06295067908084664	1.08515402645112324
Hugo_Cell_2016-Pt7	0.02033347728798790	0.00000000000000000	0.01429775915301334	0.11888135180591600	0.00000000000000000	0.00000000000000000	0.01756072370686179	0.09406666944210292	0.01725963656886050	0.00000000000000000	0.00000000000000000	0.01456125764683293	0.00000000000000000	0.56035182337778255	0.03348261910485544	0.09512237126685172	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01163440804246505	0.00244790259646996	0.00000000000000000	0.00000000000000000	0.10579300121962000	1.13588887111798353
Hugo_Cell_2016-Pt8	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15165886972721623	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07603820574995818	0.02627759073757691	0.01686157322384907	0.00000000000000000	0.00000000000000000	0.00101206547529863	0.18797520233718618	0.11959130227552461	0.37634216932603515	0.00719803709669890	0.00000000000000000	0.03704498405065606	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18568789172238825	1.04152223041524206
Hugo_Cell_2016-Pt9	0.02775706764060457	0.00000000000000000	0.02856560065910750	0.26253007821423846	0.00000000000000000	0.00603885781629601	0.02744219036918191	0.03417148623095188	0.03468406897880504	0.00000000000000000	0.00000000000000000	0.04613616842968230	0.09313475992429569	0.02398228649192730	0.15922200252189639	0.19333119913524874	0.03128986415562304	0.00000000000000000	0.03171436943214127	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12223197504369791	1.05292317756053699
Hugo_Cell_2016-Pt10	0.00000000000000000	0.01168242247027618	0.06074408807055741	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.14724235391653984	0.00000000000000000	0.00000000000000000	0.02997193007547664	0.00000000000000000	0.00438166407320230	0.44591341929220585	0.00000000000000000	0.09966041817275514	0.00000000000000000	0.04526514632494490	0.00000000000000000	0.05220847487074038	0.00000000000000000	0.10293008273330131	0.00000000000000000	0.10316259224656117	1.10986431320435708
Hugo_Cell_2016-Pt12	0.00000000000000000	0.00465425329058222	0.00373151710703652	0.00000000000000000	0.00000000000000000	0.11979523179965515	0.00000000000000000	0.01271880609682542	0.02859270029183084	0.00000000000000000	0.05341849748881441	0.00000000000000000	0.00000000000000000	0.38551058786724940	0.01667612038808517	0.21878164749905657	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.11160924344005052	0.03547411574150728	0.00903727898930653	0.00000000000000000	0.14816442513876760	1.08512395075564028
