Samples	CBSX_BPRNACanProMet_B	CBSX_BPRNACanProMet_cancer	CBSX_BPRNACanProMet_CD4	CBSX_BPRNACanProMet_CD8	CBSX_BPRNACanProMet_M0	CBSX_BPRNACanProMet_M1	CBSX_BPRNACanProMet_M2	CBSX_BPRNACanProMet_Mono	CBSX_BPRNACanProMet_Neu	CBSX_BPRNACanProMet_NK
5085	0.04351476227928733	0.2706815130654927	0.04312837838371496	0.00260925816745011	0	0.00158009099730183	0	0.2287697443024297	0.4036391019947828	0.00607715080954054
5087	0.11633151206506552	0.43664293272696886	0.06159532043409494	0.00548146272314579	0	0.0221115288479868	0	0.15981728913687096	0.1922427880248997	0.00577716604096744
5088	0.0554883535582518	0.3919442210217321	0.08625254307366338	0.00502103918631713	0	0.01337601678162409	0	0.17824967350801835	0.26257148048669066	0.00709667238370252
5091	0.05974264238578078	0.5045547843894224	0.02700899229405604	0.0131106363020246	0	0.02958337788058363	0	0.12513803147935462	0.2368589389662042	0.00400259630257388
5092	0.07431707965169614	0.3725050965313036	0.02113445201431458	0	0	0.02433898187211966	0	0.2592992920441234	0.24771432097803409	6.9077690840853e-4
5093	0.01089362102750081	0.2247551839148779	0.05785102292131475	0.01208553353813044	0	5.6871686520913e-4	0	0.27786607795960827	0.4133992420503104	0.00258060172304832
5094	0.0833365444693412	0.3167974230167953	0.04520842471736081	0.00813076216189344	0	0.02077870049804172	0	0.1533880106423544	0.3521957616746392	0.02016437281957385
5095	0.09812598956014593	0.30315077110167027	0.1046685866898692	0.02197817338908588	0	0.02147379379724137	0	0.16961383729151455	0.27105745265027653	0.00993139552019608
5097	0.06731044604135629	0.296929666131854	0.10919774989309564	0.03879617074826334	0	0.04271200953451009	0	0.10766721128393744	0.33738674636698324	0
5098	0.01503152332138248	0.07696606453559407	0.02370300013530893	1.1701682252034e-4	0	4.4850548709637e-4	0	0.08940008733532419	0.7935266623323656	8.0714003040807e-4
5103	0.07109772991129994	0.3326812461489842	0.01814705103025622	0.03180216055477562	0	0	0	0.2484856056075522	0.29340378750441526	0.00438241924271654
5104	0.03886426009575583	0.2133459484829437	0.08262551518367821	0.00925858796238523	0	0.020570880953094232	0	0.15196599331808244	0.4738775842520276	0.00949122975203267
5105	0.03418601924696234	0.35890626123441544	0.04601214460333553	0	0	0.01358910161797927	0	0.20130601618177937	0.3442979961082391	0.00170246100728882
5108	0.05847170231465066	0.32869161553308196	0.03072406975506988	0	0	0.01648857843271149	0	0.24727134848261367	0.315211591822014	0.0031410936598584
5115	0.01230000087313747	0.11397048987001478	0.06617824611707816	0	0	0.00608560880714194	0	0.12211430210772065	0.6682861660506042	0.0110651861743027
5117	0.101597463505488	0.4259335369418543	0.01500090326616545	0.00477729570744	0	0.02198860732148576	0	0.1873721367270092	0.24021139032316033	0.00311866620739687
5120	0.06626653037398808	0.12984077639390693	0.16724224573125604	0	0	0.00962258170978399	0	0.13764584901052582	0.47641657183074576	0.01296544494979344
5122	0.01127073542436886	0.18118183066176177	0.16150562865696835	0	0	0.00748204687065612	0	0.08376227162086052	0.5522339399724093	0.0025635467929751702
5124	0.07938696873524458	0.42065376792555453	0.03763990564831925	0	0	0.02588940884342139	0	0.25439465711920284	0.1799051961237857	0.00213009560447171
5133	0.02505168011144306	0.1415059182614113	0.1692844843430147	0.0177065314946975	0	0.01019823274847269	0	0.06000495676435041	0.5606189372465907	0.01562925903001966
5137	0.0361930005447605	0.2749430310148875	0.04265012451282681	0.00692134782826636	0	0	0	0.22277385766588287	0.4076287831782616	0.00888985525511455
5138	0.1179819487853946	0.44846795612697704	0.09635326039744543	0.01081672669924615	0	0.00366943452081059	0	0.12031744363717035	0.19867781540722687	0.00371541442572895
5140	0.11943919370368744	0.36639721915721135	0.05917518896065077	0.01738045635270381	0	0.00874946112090494	0	0.14306273837104694	0.2833560886579135	0.00243965367588133
5143	0.05705204755587505	0.5265888161816616	0	0.00220941170070403	0	0.02846300421941302	0	0.20494454130396111	0.17841087407860992	0.00233130495977527
