Mixture	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	P-value	Correlation	RMSE
IMMU-BC3-0099	0.00000000000000000	0.00964477977402942	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.47403513166415218	0.00000000000000000	0.40472613182496869	0.11159395673684978	0.00000000000000000	0.02637925971063565	1.07476699051378888
IMMU-BC3-0101	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24921049204531093	0.20658040359051938	0.08201044687520881	0.46219865748896077	0.00000000000000000	-0.03919688579966481	1.08158297543329440
IMMU-BC3-0109	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24349042124159515	0.19440516376978059	0.20309871269833682	0.35900570229028739	0.00000000000000000	-0.02001077262973446	1.07012356853233404
IMMU-BC3-0111	0.00000000000000000	0.14834890868803488	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.37992064048266050	0.06334551484725709	0.00000000000000000	0.40838493598204739	0.00000000000000000	-0.06008782881619192	1.08801989611471028
IMMU-BC3-0113	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.42141225427243267	0.22200698365131633	0.35658076207625095	0.00000000000000000	-0.00445113297967922	1.10025799481072628
IMMU-BC3-0119	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.13599760116072104	1.03998278609964023
IMMU-BC3-0124	0.00000000000000000	0.25925452541088562	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04214130417559524	0.21387487707763830	0.29182050584513691	0.19290878749074400	0.00000000000000000	-0.07047632219541287	1.12010443470755860
IMMU-BC3-0126	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02035247142046358	0.00000000000000000	0.28613782327336978	0.22306430284886655	0.47044540245729999	0.00000000000000000	-0.01654081099004136	1.08633281002803361
IMMU-BC3-0138	0.00000000000000000	0.00098900160830187	0.00922532290856137	0.02042769834663031	0.00368050559041025	0.00000000000000000	0.96567747154609618	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12974054697492740	1.03709669109891522
IMMU-BC3-0139	0.00000000000000000	0.04458288751786318	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09056253364048254	0.41427307492773557	0.45058150391391866	0.00000000000000000	-0.02629306563415968	1.08288833439461163
IMMU-BC3-0147	0.00000000000000000	0.00000000000000000	0.00070538164511920	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.51309091236793791	0.21065876884788196	0.00000000000000000	0.27554493713906092	0.00000000000000000	-0.01511920187119603	1.06760304221181435
IMMU-BC3-0152	0.00000000000000000	0.14317115287153678	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.57698415624358979	0.01485278900262114	0.00000000000000000	0.26499190188225230	0.00000000000000000	0.00352220822962756	1.05709139329711932
IMMU-BC3-0154	0.00000000000000000	0.08230943070067226	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.60523906878500788	0.00000000000000000	0.00000000000000000	0.31245150051431980	0.00000000000000000	0.01781222263187591	1.05005426357636500
IMMU-BC3-0154	0.00000000000000000	0.03252732161560998	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.96747267838439011	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12757981139565433	1.03744024885550079
IMMU-BC3-0155	0.00000000000000000	0.23240967404094326	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.23375741945510090	0.36333056843308414	0.17050233807087173	0.00000000000000000	-0.04961174677831982	1.10929611205646506
IMMU-BC3-0165	0.00000000000000000	0.08167138701061917	0.00000000000000000	0.24257294372277963	0.00000000000000000	0.00000000000000000	0.67575566926660124	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.01665840200788425	1.06508800906502898
IMMU-BC3-0168	0.03319534105189310	0.10438162949288572	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.30210617039724791	0.13887976656129267	0.15540432059679307	0.26603277189988744	0.00000000000000000	-0.03827800797562473	1.06363105764076993
IMMU-BC3-0171	0.00000000000000000	0.03380875333143901	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.58208956542750190	0.09127470404801992	0.00000000000000000	0.29282697719303913	0.00000000000000000	0.01708087691393544	1.04900717007347710
IMMU-BC3-0177	0.14324702688498436	0.01688241724464194	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24042239151813841	0.14294577303244496	0.45650239131979020	0.00000000000000000	-0.00125501957191035	1.07334884430141586
IMMU-BC3-0181	0.00000000000000000	0.11848586594312843	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.76447687027604172	0.05144616473967878	0.00000000000000000	0.06559109904115105	0.00000000000000000	0.03890276164632030	1.05004257610790575
IMMU-BC3-0187	0.00000000000000000	0.08858774192903288	0.24276148990803437	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44839327069053359	0.00000000000000000	0.00000000000000000	0.22025749747239917	0.00000000000000000	-0.03742348349833603	1.08049609307937478
IMMU-BC3-0188	0.00000000000000000	0.01051755639002326	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.26980568824001355	0.56578845422137425	0.15388830114858906	0.00000000000000000	-0.00441227577897222	1.10218631665759381
IMMU-BC3-0189	0.03097157188680891	0.14084255846211946	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.19360639663011472	0.03067149189416206	0.38131766435530251	0.22259031677149230	0.00000000000000000	0.02960640649430421	1.05487949299318817
IMMU-BC3-0190	0.11501030928799985	0.07613619572696645	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.37649005068359670	0.13085871318579281	0.30150473111564419	0.00000000000000000	-0.06847967477568037	1.10714806098058771
IMMU-BC3-0198	0.00000000000000000	0.18341381398866141	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02192712158617392	0.58804229731223312	0.20661676711293159	0.00000000000000000	0.05855407658239831	1.06989845667444450
IMMU-BC3-0199	0.00000000000000000	0.35545954489401432	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.38574099215203550	0.18344933439716282	0.07535012855678741	0.00000000000000000	-0.03916878929940978	1.16519972762931023
IMMU-BC3-0200	0.00000000000000000	0.00000000000000000	0.07983764135939411	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.46995477430887700	0.06622036390131809	0.38398722043041078	0.00000000000000000	-0.00298597606860931	1.10903367568017774
IMMU-BC3-0204	0.03553182392522608	0.08149082225519404	0.01900030469036426	0.03160515691805747	0.07293391056316918	0.00000000000000000	0.70163838337214501	0.04653821678303673	0.01126138149280723	0.00000000000000000	0.00000000000000000	0.05364454540543376	1.03622511151363206
IMMU-BC3-0212	0.00000000000000000	0.00611854907905690	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.69479596302807201	0.08899937008218109	0.00000000000000000	0.21008611781068989	0.00000000000000000	-0.00828383786857471	1.06139845542073163
IMMU-BC3-0220	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01823356479239883	0.28741266111545272	0.42049505717016161	0.27385871692198693	0.00000000000000000	-0.00102140162728047	1.08492501581825729
IMMU-BC3-0221	0.00000000000000000	0.00000000000000000	0.05503646618772712	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.35048390486534958	0.16568498930987594	0.00000000000000000	0.42879463963704728	0.00000000000000000	0.00095806523853510	1.06136810447256180
IMMU-BC3-0222	0.00000000000000000	0.11836966212504728	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.57109733333887192	0.01020869620425336	0.00000000000000000	0.30032430833182755	0.00000000000000000	0.01428193940149207	1.05236263982092781
IMMU-BC3-0230	0.03335842976299863	0.02228247917606968	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.86814000751582898	0.06164506457723323	0.00000000000000000	0.01457401896786960	0.00000000000000000	0.07401497245837158	1.04972476849284635
IMMU-BC3-0233	0.00000000000000000	0.16472818906453263	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.32478588141410786	0.51048592952135952	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02629195930773023	1.11663682673199727
IMMU-BC3-0234	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.80237437023680869	0.03539630683638167	0.00000000000000000	0.16222932292680955	0.00000000000000000	0.10505128745253187	1.03287000274239071
IMMU-BC3-0235	0.00000000000000000	0.00000000000000000	0.04074847573552558	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.70499213211341261	0.05726203504103151	0.00000000000000000	0.19699735711003022	0.00000000000000000	0.05814210214129651	1.03959105081467551
IMMU-BC3-0238	0.00000000000000000	0.00761009391593335	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.85519541039162017	0.00920296283349931	0.00000000000000000	0.12799153285894707	0.00000000000000000	0.06687919424639908	1.04703935323889596
IMMU-BC3-0239	0.00000000000000000	0.23893283953625397	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.38867414443639559	0.00000000000000000	0.00000000000000000	0.37239301602735042	0.00000000000000000	-0.03209313231689087	1.10158033136464550
IMMU-BC3-0240	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01380774220570662	0.00000000000000000	0.00000000000000000	0.85913817931645964	0.12705407847783370	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04220975565743310	1.06745069634223655
IMMU-BC3-0241	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04316602144441659	0.00000000000000000	0.00000000000000000	0.56213626572836783	0.26344961743728823	0.00000000000000000	0.13124809538992738	0.00000000000000000	0.00256922282053149	1.07099472747000424
IMMU-BC3-0251	0.00000000000000000	0.09471064263228327	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.84465869812424987	0.02395161827864593	0.00000000000000000	0.03667904096482096	0.00000000000000000	0.08688467927164170	1.03928261445284709
IMMU-BC3-0251	0.00000000000000000	0.12559581179864956	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.62390978231682392	0.01733812407085455	0.00000000000000000	0.23315628181367201	0.00000000000000000	0.02528821228885356	1.04823105314232667
IMMU-BC3-0255	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.63987892546089276	0.15209496031465666	0.00000000000000000	0.20802611422445044	0.00000000000000000	0.08559108319324485	1.03586163374675477
IMMU-BC3-0256	0.00000000000000000	0.13686671811111623	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.19683807070942877	0.17803102960816297	0.48826418157129203	0.00000000000000000	-0.06936455215761385	1.10799695316157054
IMMU-BC3-0262	0.00000000000000000	0.00000000000000000	0.02303548689556491	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20676863108072230	0.53908305959686642	0.23111282242684639	0.00000000000000000	0.01774534118529804	1.07894992017432867
IMMU-BC3-0263	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00315595539876349	0.00116784656430431	0.00000000000000000	0.00000000000000000	0.61755082999928446	0.37304593719007101	0.00507943084757682	0.00000000000000000	0.05862099054676521	1.14655100364029350
IMMU-BC3-0263	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.75816655535662503	0.24183344464337497	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06773971244413128	1.06613340284604163
IMMU-BC3-0267	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.65615565516987895	0.00000000000000000	0.00000000000000000	0.34384434483012111	0.00000000000000000	0.02128808356792805	1.05297568867824465
IMMU-BC3-0269	0.00000000000000000	0.05634239293684502	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.81288693280026936	0.00000000000000000	0.00000000000000000	0.13077067426288563	0.00000000000000000	0.07922606121248894	1.03761450405722178
IMMU-BC3-0272	0.00000000000000000	0.04544084436580613	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.65964041334074630	0.04276807717604149	0.00000000000000000	0.25215066511740597	0.00000000000000000	-0.01888652752917521	1.05922036899019645
IMMU-BC3-0273	0.00000000000000000	0.06387892024168064	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.31466647596514530	0.12003293552627783	0.50142166826689616	0.00000000000000000	0.01581409984247224	1.08133683164595262
IMMU-BC3-0274	0.00000000000000000	0.44849237501844869	0.00000000000000000	0.00000000000000000	0.02439461893499130	0.00000000000000000	0.00000000000000000	0.13298324400900766	0.39412976203755240	0.00000000000000000	0.00000000000000000	-0.02289944183699377	1.18268557064287516
IMMU-BC3-0275	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.37948737495058799	0.20685642792631839	0.41365619712309354	0.00000000000000000	-0.03219421504512131	1.10438438508887060
