Samples	CBSX__scRNA-melanoma__Malignant	CBSX__scRNA-melanoma__Endothelial_cells	CBSX__scRNA-melanoma__CAF	CBSX__scRNA-melanoma__T_cells_CD8	CBSX__scRNA-melanoma__NK_cells	CBSX__scRNA-melanoma__Macrophages	CBSX__scRNA-melanoma__T_cells_CD4	CBSX__scRNA-melanoma__B_cells
IMMU-BC3-0099	0.13185386406008917	0.01623984462235483	0.74825232491527	0	0	0.06129445006084871	0.03321044956485081	0.00914906677658641
IMMU-BC3-0101	0	0.00476750590782806	0.5202892557292987	0	0.00399036768645188	0.07938633506780689	0.18855287203258753	0.20301366357602693
IMMU-BC3-0109	0	1.3965915880278e-4	0.3791310980771264	0	0	0.333676129854514	0.2686286679716326	0.01842444493792431
IMMU-BC3-0111	0.21313874774434777	0.00299684396703809	0.6627511233374246	0	0	0.07795629199723718	0.04315699295395251	0
IMMU-BC3-0113	0	0	0.7548263740410456	0.07852999430800403	0	0.09378597775047803	0	0.07285765390047223
IMMU-BC3-0119	0.1537514594533828	0.04418770222159764	0.6301416768077779	0	0	0.0687627825000083	0.0417910035054444	0.06136537551178898
IMMU-BC3-0124	0.11016248036430608	0.01315819586776136	0.6774459742951794	0	0	0.06865110527368852	0.09146399151844306	0.03911825268062163
IMMU-BC3-0126	0	0	0.5453063969259926	0	0.00155891926457704	0.18215072985931197	0.262599342799137	0.00838461115098125
IMMU-BC3-0138	0.24460357921203613	0.00608252342585307	0.5831619337197049	0	0	0.07096204227680807	0.09250384154297292	0.00268607982262485
IMMU-BC3-0139	0.05893699457365719	0.0526437035541413	0.6545338317599586	0	0	0.03346167811372541	0.02986808573751619	0.17055570626100133
IMMU-BC3-0147	0.04014888585213802	0.0031268792942912	0.7878541704093083	0.05247066423938306	0	0.07714034597646961	0	0.03925905422840968
IMMU-BC3-0152	0	0	0.8206207311689653	0.03388791167149204	0	0.14549135715954262	0	0
IMMU-BC3-0154	0.07664341303585974	0	0.6211298265301575	0.14697342699499935	0	0.10463705232857724	0	0.05061628111040624
IMMU-BC3-0154	0	0.00164822198522052	0.9057841013521312	0.02040073022935471	0	0.06179830926904911	0	0.01036863716424442
IMMU-BC3-0155	0	0.00650004324166959	0.7895426632731812	0	0	0.14904685476532417	0.05491043871982497	0
IMMU-BC3-0165	0.02538500671278441	0.018038099370244	0.7053180045486354	0	0	0.17481998836042906	0.01399637372834569	0.06244252727956155
IMMU-BC3-0168	0	0	0.5693926546103937	0	0	0.06056336875492412	0.28450311556242586	0.08554086107225642
IMMU-BC3-0171	0	0.00476376932487271	0.5348880237251451	0	0	0.10472772627035933	0.28699501207232264	0.06862546860730014
IMMU-BC3-0177	0	0.01347966557362601	0.02512696361486915	0	0.04695305447936332	0.049391433579333253	0.4728563251945651	0.39219255755824306
IMMU-BC3-0181	0.22608919880041087	0.01442226906422631	0.6421172077854898	0.01494119140082799	0	0.10243013294904509	0	0
IMMU-BC3-0187	0.16072184870460937	0	0.6342318561455801	0.1586434635870537	0	0.03919828050916323	0	0.00720455105359353
IMMU-BC3-0188	0	5.6289602787227e-4	0.48696216782179086	0	0.00253024898464213	0.24930142435833935	0.23608603482472887	0.02455722798262646
IMMU-BC3-0189	0	0.02202682817667916	0.6789256601371527	0	0.02785503340748248	0.03503971600306747	0.13293855976919955	0.10321420250641852
IMMU-BC3-0190	0.03176981835482589	0	0.7457641259542189	0	0.00865105457646491	0.0580932074289971	0.12283596759031716	0.03288582609517619
IMMU-BC3-0198	0.0866909740919914	0.00677203700121839	0.7501632312007871	0	0.02052264624341721	0.09664399560084348	0.03920711586174253	0
IMMU-BC3-0199	0.26949047114975405	0	0.4055867900650024	0.03409224657997989	0	0.29083049220526386	0	0
IMMU-BC3-0200	0.13350194714945232	0	0.6695550809961033	0	0	0.09706666258088543	0.0606794676691201	0.03919684160443884
IMMU-BC3-0204	0.04251389788534568	0	0.26185479076329216	0	0.01444519947515515	0.18669662114138735	0.418009882430406	0.07647960830441367
IMMU-BC3-0212	0.07924503899756344	0	0.854729292367345	0.03072841242736785	0	0.0338526202107988	0	0.00144463599692485
