Mixture	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells	P-value	Correlation	RMSE
IMMU-BC3-0099	0.13185386406008917	0.01623984462235483	0.74825232491527005	0.00000000000000000	0.00000000000000000	0.06129445006084871	0.03321044956485081	0.00914906677658641	0.00000000000000000	0.09570821196099068	1.08340355235993213
IMMU-BC3-0101	0.00000000000000000	0.00476750590782806	0.52028925572929874	0.00000000000000000	0.00399036768645188	0.07938633506780689	0.18855287203258753	0.20301366357602693	0.00000000000000000	0.01900279553110633	1.11724852201479119
IMMU-BC3-0109	0.00000000000000000	0.00013965915880278	0.37913109807712636	0.00000000000000000	0.00000000000000000	0.33367612985451400	0.26862866797163260	0.01842444493792431	0.00000000000000000	0.06296494932846519	1.22987381582682276
IMMU-BC3-0111	0.21313874774434774	0.00299684396703809	0.66275112333742459	0.00000000000000000	0.00000000000000000	0.07795629199723718	0.04315699295395251	0.00000000000000000	0.00000000000000000	0.05709763977663004	1.08852131702446253
IMMU-BC3-0113	0.00000000000000000	0.00000000000000000	0.75482637404104558	0.07852999430800403	0.00000000000000000	0.09378597775047805	0.00000000000000000	0.07285765390047223	0.00000000000000000	0.06798254379809893	1.11423023152461798
IMMU-BC3-0119	0.15375145945338281	0.04418770222159764	0.63014167680777788	0.00000000000000000	0.00000000000000000	0.06876278250000829	0.04179100350544440	0.06136537551178898	0.00000000000000000	0.04692086552677534	1.08907886223925332
IMMU-BC3-0124	0.11016248036430608	0.01315819586776136	0.67744597429517939	0.00000000000000000	0.00000000000000000	0.06865110527368852	0.09146399151844306	0.03911825268062163	0.00000000000000000	0.08987510818978915	1.07440672659263514
IMMU-BC3-0126	0.00000000000000000	0.00000000000000000	0.54530639692599259	0.00000000000000000	0.00155891926457704	0.18215072985931197	0.26259934279913699	0.00838461115098125	0.00000000000000000	0.06645020998764438	1.10947292801153163
IMMU-BC3-0138	0.24460357921203613	0.00608252342585307	0.58316193371970493	0.00000000000000000	0.00000000000000000	0.07096204227680807	0.09250384154297293	0.00268607982262485	0.00000000000000000	0.05465409325385606	1.07319516154362948
IMMU-BC3-0139	0.05893699457365719	0.05264370355414130	0.65453383175995861	0.00000000000000000	0.00000000000000000	0.03346167811372541	0.02986808573751619	0.17055570626100131	0.00000000000000000	0.05263478064283540	1.09581146208619362
IMMU-BC3-0147	0.04014888585213802	0.00312687929429120	0.78785417040930839	0.05247066423938306	0.00000000000000000	0.07714034597646961	0.00000000000000000	0.03925905422840968	0.00000000000000000	0.12381114972748117	1.08272820874444564
IMMU-BC3-0152	0.00000000000000000	0.00000000000000000	0.82062073116896528	0.03388791167149204	0.00000000000000000	0.14549135715954262	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04986784890470636	1.15011481887110945
IMMU-BC3-0154	0.07664341303585974	0.00000000000000000	0.62112982653015747	0.14697342699499935	0.00000000000000000	0.10463705232857724	0.00000000000000000	0.05061628111040624	0.00000000000000000	0.07145684456242710	1.08781935459104351
IMMU-BC3-0154	0.00000000000000000	0.00164822198522052	0.90578410135213117	0.02040073022935471	0.00000000000000000	0.06179830926904911	0.00000000000000000	0.01036863716424442	0.00000000000000000	0.30854407216281604	0.99757764346533462
IMMU-BC3-0155	0.00000000000000000	0.00650004324166959	0.78954266327318123	0.00000000000000000	0.00000000000000000	0.14904685476532417	0.05491043871982497	0.00000000000000000	0.00000000000000000	0.05698865328748551	1.14006913043480451
IMMU-BC3-0165	0.02538500671278441	0.01803809937024400	0.70531800454863536	0.00000000000000000	0.00000000000000000	0.17481998836042906	0.01399637372834569	0.06244252727956155	0.00000000000000000	0.22565133786459188	1.05419377700562955
IMMU-BC3-0168	0.00000000000000000	0.00000000000000000	0.56939265461039368	0.00000000000000000	0.00000000000000000	0.06056336875492412	0.28450311556242586	0.08554086107225642	0.00000000000000000	0.01471505621279627	1.09132786481623767
IMMU-BC3-0171	0.00000000000000000	0.00476376932487271	0.53488802372514510	0.00000000000000000	0.00000000000000000	0.10472772627035931	0.28699501207232264	0.06862546860730014	0.00000000000000000	0.04255627714509858	1.08941783660298142
IMMU-BC3-0177	0.00000000000000000	0.01347966557362601	0.02512696361486915	0.00000000000000000	0.04695305447936332	0.04939143357933325	0.47285632519456511	0.39219255755824306	0.00000000000000000	0.01287970249997880	1.16364727771967513
IMMU-BC3-0181	0.22608919880041087	0.01442226906422631	0.64211720778548975	0.01494119140082799	0.00000000000000000	0.10243013294904507	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05338028161719780	1.09462807449342048
IMMU-BC3-0187	0.16072184870460937	0.00000000000000000	0.63423185614558009	0.15864346358705370	0.00000000000000000	0.03919828050916323	0.00000000000000000	0.00720455105359353	0.00000000000000000	0.01128138954057732	1.09338616761908547
