Mixture	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	P-value	Correlation	RMSE
Patient100	0.00000000000000000	0.39603822449430920	0.12704912632384538	0.01354813755016070	0.00000000000000000	0.02810088215408498	0.17682147134556978	0.25844215813202998	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.38039597184966972	0.94671274593473664
Patient102	0.00000000000000000	0.18032809160127425	0.34535433970721169	0.18742444436447409	0.00000000000000000	0.00000000000000000	0.28689312432704001	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.19046817326781651	1.03743300118007808
Patient105	0.00000000000000000	0.08512760256517850	0.43388248114777878	0.23789455580797744	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24309536047906519	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01655734030816313	1.14216378756174897
Patient106	0.00297682482273758	0.45385406388833482	0.07832472845317549	0.22996420058733710	0.00838002399565004	0.01448578491361999	0.20395390601162169	0.00000000000000000	0.00806046732752316	0.00000000000000000	0.00000000000000000	0.07092434064210482	1.16828324373484094
Patient107	0.15020498179153946	0.15390829733121703	0.00000000000000000	0.07624416844051467	0.04979561609571848	0.28280400486308049	0.00000000000000000	0.00000000000000000	0.28704293147792986	0.00000000000000000	0.00000000000000000	0.20282918788968940	1.00567264556568725
Patient108	0.04037765491647898	0.03681212833692946	0.13178358316412081	0.02641605683683493	0.01087889378485441	0.32077207465745750	0.00000000000000000	0.11640427996616858	0.29360839701518504	0.02294693132197030	0.00000000000000000	0.06940934224745182	1.07010624839199719
Patient10	0.00812804348013145	0.01671448922402549	0.12678966661799776	0.26450259464559783	0.00000000000000000	0.01355302950165632	0.50741564793937899	0.00000000000000000	0.00000000000000000	0.06289652859121213	0.00000000000000000	0.10674555970390280	1.02604656554488227
Patient112	0.00000000000000000	0.19047693855028971	0.00000000000000000	0.49223736706781640	0.00000000000000000	0.00000000000000000	0.26170096439351459	0.05558472998837930	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17984676105945424	1.03603774919222924
Patient116	0.00000000000000000	0.00000000000000000	0.15928664478577012	0.55711186559275105	0.00000000000000000	0.00000000000000000	0.28360148962147874	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09275388364389592	1.07880272467860761
Patient117	0.00000000000000000	0.45745819406932814	0.16273340294458505	0.24521697272857687	0.00000000000000000	0.00367441321707847	0.00000000000000000	0.00000000000000000	0.13091701704043140	0.00000000000000000	0.00000000000000000	0.31784780568907400	1.03495420580584518
Patient11	0.00000000000000000	0.27466285864048090	0.26463432341294013	0.08910701638339483	0.00000000000000000	0.00000000000000000	0.36631641540562515	0.00527938615755892	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21343103523965398	1.02475442457573740
Patient121	0.00000000000000000	0.28814481026345523	0.05333060061285820	0.35874079597572051	0.00000000000000000	0.00000000000000000	0.28471391097133114	0.01506988217663489	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20945681942765471	1.03169035316506985
Patient125	0.06882047203806689	0.25079824430570685	0.05363384742394019	0.00000000000000000	0.00000000000000000	0.01391043706548433	0.16727538867085015	0.44556161049595150	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.45880753800835411	0.88911146252114548
Patient126	0.04103438040165330	0.27865416766546769	0.23721593280989758	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.23300791987509589	0.00000000000000000	0.00000000000000000	0.21008759924788556	0.00000000000000000	0.25759279903217114	1.00036441680958599
Patient127	0.00000000000000000	0.48324026823443661	0.00000000000000000	0.19761022867823835	0.15570410629052595	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.16344539679679901	0.00000000000000000	0.00000000000000000	0.10057864757741963	1.17889051958126712
Patient130	0.00000000000000000	0.80338256998729629	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07848825107346942	0.11812917893923422	0.00000000000000000	0.00000000000000000	0.31622565140016728	1.18211676568083202
Patient131	0.01290924359373030	0.00000000000000000	0.54100651959256529	0.35430754409557408	0.01553969551082681	0.01094411824588331	0.05771353033217869	0.00757934862924162	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02354250067029574	1.17984001386485526
Patient132	0.07582144724720245	0.34812057462905316	0.10450467704842314	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.37982221056333543	0.00000000000000000	0.06369879216882547	0.02803229834316036	0.00000000000000000	0.32505712752286997	0.96096029537819061
Patient133	0.00000000000000000	0.40488384373401054	0.22960007719188252	0.06285471927775871	0.00000000000000000	0.00000000000000000	0.28190738565981982	0.00000000000000000	0.00000000000000000	0.02075397413652828	0.00000000000000000	0.25025193264241563	1.04394490739528312
Patient134	0.01135082600213357	0.10778143269736368	0.06651699911608143	0.49357311630718359	0.04238320686767100	0.00000000000000000	0.27839441900956668	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.28516388834963263	0.97858620753383885
Patient135	0.01676721224985728	0.02888715401841310	0.42718687915794301	0.00000000000000000	0.00381406506022253	0.00000000000000000	0.44278965530328851	0.00000000000000000	0.00000000000000000	0.08055503421027557	0.00000000000000000	0.07502138358082791	1.06282031029755752
Patient137	0.02241899660936915	0.41668698137903298	0.07834553359405776	0.15930973903968484	0.00000000000000000	0.01011393770567620	0.25453671304220471	0.04082192200614680	0.01776617662382747	0.00000000000000000	0.00000000000000000	0.32776242872783434	0.98290210499248287
Patient13	0.00000000000000000	0.41542682048536161	0.09781956713300428	0.31440426779071456	0.08350229446040058	0.00000000000000000	0.00000000000000000	0.01746068852093335	0.07138636160958550	0.00000000000000000	0.00000000000000000	0.06290786327393545	1.18936121498590941
